,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.013777927176296157,0.2708905980782125,0.27463688649643964,0.013880861605671748,0.04623928408447474,0.6920579121955858,0.11067887374633614,0.5002898900345758,0.07765993960020534
1,KNN,0.014157835200258805,0.16427587890440404,0.19971643205642134,0.018581277359601883,0.07418555034283845,0.17896413414549842,0.14086480885332298,0.05758173257198424,0.1096387984919351
2,KthNN,0.014376008426072595,0.16341692659813395,0.19973827721075496,0.020870616332377433,0.07128581588438408,0.13953597380306057,0.13841796148504923,0.05778655686268387,0.11505991240235623
3,LOF,0.006609229226082458,0.12349853258331342,0.09226301770575669,0.01648446334911431,0.05919244000625648,0.2554475560831724,0.164393562514453,0.05421512194636699,0.05259381043632465
4,CBLOF,0.0009856925193714448,0.0978045331487844,0.019056640403468904,0.0184752884218346,0.026221174815241503,0.023550913320713095,0.05158686254406968,0.05847412859894543,0.037709304153988946
5,uCBLOF,0.013932213222255832,0.14843520755541406,0.20012038532602333,0.02022676776686641,0.06576759897678701,0.08986015826455336,0.12977592344597122,0.05529573566530578,0.17029806821139115
6,LOoP,0.007491679314617028,0.13621611617186347,0.21137938417402227,0.016336460732897386,0.06622299049386343,0.22132364129173732,0.15017573758093344,0.06642959683244129,0.04650007247769883
7,LDCOF,0.0007437314067148321,0.2073260337746878,0.10100446428571429,0.01619250277318818,0.26554491341991343,0.09903594437168362,0.22593614718614716,0.04150189271758979,0.01807477793844247
8,HBOS,0.013940054793289245,0.2209826726359498,0.2317612043101876,0.016202846996668914,0.04744452559005744,0.9041584281164404,0.13549040322123593,0.576385818911061,0.15994169377661815
9,OCSVM,0.0016730991404545234,0.10006896000342239,0.1301009709150876,0.013845125047309854,0.10315625212727864,0.1286594176690078,0.059226269105023745,0.013379602638677199,0.11786276605264756
10,Nu-OCSVM,0.0015081138411186577,0.1193016218109055,0.1308607261903468,0.023111842813777372,0.09816607890204196,0.13943092427366832,0.07345434838710788,0.008866382078774836,0.11786276605264756
