,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0024833994766580245,0.10211742434357933,0.16808585320453664,0.01913847325457814,0.06475223215021093,0.03509888739698854,0.17210003340545768,0.0,0.06917837908886834
1,KNN,0.002654530216464252,0.10422676308550571,0.1688492902893418,0.01963581496302,0.062255185144982954,0.0477927118501649,0.18369505970638297,0.0,0.1039246986227848
2,KthNN,0.0025479424932361955,0.10257507703383183,0.1689370851827507,0.019538752748436555,0.06141878260590425,0.04609483442007314,0.17790696998149413,0.0,0.09877753197727146
3,LOF,0.0019146465041059914,0.0819189678552779,0.027248965475958932,0.01905846344726671,0.04063365557223213,0.025230147128742924,0.1445029441879802,0.0,0.11990052046636739
4,CBLOF,0.0010535093835630518,0.08674716239492831,0.02686641914757354,0.014129409017966282,0.024881260673676683,0.024211397660888784,0.04237787962973738,0.0,0.08753477529814854
5,uCBLOF,0.0017390088879748588,0.11023277884654667,0.1623864819534158,0.01945260161587196,0.054088901376596825,0.026269450610735712,0.15368237573946508,0.0,0.12816485365377978
6,LOoP,0.003242818565985893,0.0811077832243076,0.027507148091622316,0.019480514790127187,0.0439100364359277,0.03064907923251907,0.11793113632378861,0.0,0.1012536731531072
7,LDCOF,0.0027909585751556636,0.11980380679399343,0.07626146788990826,0.015606929023703652,0.0465644179434611,0.024786259457818427,0.13574810024831122,0.0,0.06777158379211203
8,HBOS,0.002529075097063264,0.11255119245606159,0.16251240079365079,0.019630923955594987,0.062363803617391605,0.06798455876443397,0.17604373686935265,0.0,0.12328967816579783
9,OCSVM,0.0026058257890784592,0.1036174683588276,0.09358250546804786,0.34543133598236125,0.08113233544614956,0.026153150304681377,0.19501666741936266,0.0,0.09426890122212364
10,Nu-OCSVM,0.002521344724294029,0.10353796616388772,0.09479441805450119,0.5081521739130435,0.07981172209756476,0.02572304056697053,0.18547951206980318,0.0,0.09426890122212364
11,RED1,0.00266527424529163,0.10764822579689351,0.1704954396532654,0.018925560098213105,0.07422699820403708,0.03296622339998437,0.15546992607733826,0.0,0.03902960716592983
12,RED2,0.002638825028978021,0.10891512116896548,0.17080380811241427,0.01894502475692888,0.0523390836198937,0.03243131836425227,0.17129041589162697,0.0,0.10647920601735908
