,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7425592071261362,0.8311085865757833,0.47332185886402756,0.4600296563244927,0.0,0.6991274475407325,0.7837142857142857,0.0,0.592039066805462
1,KNN,0.8498768734989207,0.8506737353655842,0.5146299483648881,0.48112694033072423,0.0,0.7748456930493652,0.8406802721088436,0.0,0.600728675525075
2,KthNN,0.8355881190526859,0.8481807567294644,0.5169248422260471,0.4809580119000695,0.0,0.7754598888556813,0.8289523809523809,0.0,0.5844032821015246
3,LOF,0.8729820934545344,0.7975953801003502,0.49512335054503726,0.4893575088687426,0.0,0.5180258290407656,0.8323401360544218,0.0,0.6380295144204273
4,CBLOF,0.5255829507798011,0.33134526176275675,0.4279977051061388,0.5673273645287835,0.0,0.3922850219131794,0.44409523809523804,0.0,0.6102810605596718
5,uCBLOF,0.7804700088164656,0.7923254126037426,0.5100401606425703,0.4805450757362464,0.0,0.61122307415371,0.8253469387755101,0.0,0.5630016532974098
6,LOoP,0.8832882376189464,0.7750639023004828,0.5017211703958692,0.4922856016667605,0.0,0.510981610051144,0.8224353741496598,0.0,0.6640609883044517
7,LDCOF,0.7211868786671936,0.4980119284294235,0.4520940906483075,0.46123092516470526,0.0,0.6316094523883595,0.7605442176870748,0.0,0.581747596595432
8,HBOS,0.7350500106405619,0.852251569945407,0.525530694205393,0.47770144715355595,0.0,0.501329008025108,0.8021768707482994,0.0,0.6028963321290797
9,OCSVM,0.7410087252606937,0.794092587333144,0.40906483075157773,0.4780486889276799,0.0,0.47372051670311427,0.7978095238095237,0.0,0.5110807666401322
10,Nu-OCSVM,0.7304593682546437,0.7847833633121903,0.4503729202524383,0.4662800082587233,0.0,0.4250725194894934,0.7870612244897959,0.0,0.5110807666401322
11,RED1,0.7556318973641808,0.8485278803370255,0.5335628227194492,0.48794038703380443,0.0,0.0,0.7958775510204082,0.0,0.507967668850652
12,RED2,0.7225245492962028,0.8487487771782005,0.5266781411359724,0.4857724721737335,0.0,0.0,0.7959591836734694,0.0,0.6196301512460963
