,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9764995591767245,0.5280381204834484,0.25358577165806084,0.5040073577716464,0.6254399375040174,0.7559796188704311,0.7796190476190477,0.47684436086937504,0.6255140530279837
1,KNN,0.969263977137993,0.5251349048565749,0.2679288582903041,0.5443437130469058,0.6362032786621815,0.8645845260671416,0.7963673469387755,0.47978528009795773,0.7575102565672648
2,KthNN,0.97397622594473,0.5237464104263309,0.270223752151463,0.5393227846913302,0.6311027431991373,0.8451838268735252,0.7922176870748299,0.480299121004067,0.7444822729777724
3,LOF,0.7551454716809047,0.5118179810028716,0.24268502581755594,0.546999643373313,0.6075135617755447,0.7917300901674911,0.7336598639455783,0.4727445664057375,0.6931780050211254
4,CBLOF,0.47010002128112366,0.4352930038814731,0.2547332185886403,0.46186909923606806,0.4411125119626622,0.30967785167525436,0.5115510204081632,0.5013501989766913,0.6570093686853223
5,uCBLOF,0.9778980330161432,0.5209063081826502,0.30349971313826735,0.5407962160031532,0.6163088246059463,0.8128690659184006,0.7748843537414967,0.4772270083526479,0.6935803073908517
6,LOoP,0.7404310947618035,0.5214427719397898,0.23580034423407914,0.5584680068322165,0.6167156890314887,0.8095334114518243,0.744625850340136,0.4710062535531551,0.6856475414855182
7,LDCOF,0.8853555467728697,0.4874246583988134,0.6279403327596098,0.5413874655104454,0.6084837147101465,0.7624240376660559,0.6894421768707483,0.4826660690077404,0.5463792786724634
8,HBOS,0.9374334964886146,0.5512480671526397,0.3207114170969593,0.5149877057642135,0.6234907461219549,0.7619635819035178,0.7805714285714286,0.5258068395504438,0.8109778948012981
9,OCSVM,0.9567689173988386,0.5277856669506769,0.33534136546184734,0.5454792874974191,0.6260937410726402,0.8110228350081928,0.5638367346938776,0.5402299164735208,0.7009723838099321
10,Nu-OCSVM,0.9563736965311769,0.4981539335416075,0.30550774526678137,0.5005912495072921,0.6202564333902899,0.808570943743221,0.4434285714285714,0.34296420606113615,0.7009723838099321
11,RED1,0.9690511659015595,0.5355801697750008,0.2610441767068273,0.5273945605045328,0.6291407047882789,0.7013093382680983,0.8037687074829932,0.4803756505007216,0.525000306166187
12,RED2,0.9751618885477153,0.5595001420051122,0.25530694205393,0.5271505527713647,0.6199900772395175,0.8122623609262825,0.8106394557823129,0.4907727292605064,0.6773816667687221
