,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9709968686346638,0.8315188235665373,0.9122203098106713,0.5356063592169229,0.5863217809949006,0.9928431894867698,0.760108843537415,0.9302542965845978,0.5276510930132876
1,KNN,0.986349679263065,0.9526649626053205,0.9271371199082042,0.5007414081123186,0.6855064647476413,0.955037279540115,0.9091428571428571,0.8975160711942975,0.7231326924254484
2,KthNN,0.9849208038184416,0.9601123418220834,0.9368904188181295,0.4914221896878578,0.6573820310770324,0.9501528610196628,0.8944625850340135,0.8868730047666944,0.7070712142550977
3,LOF,0.9881737755753504,0.7912524850894632,0.934021801491681,0.5139553653546559,0.7872273277421279,0.5711282618482896,0.9073469387755102,0.9371091529278,0.7895964729655256
4,CBLOF,0.7404310947618034,0.3302407775568809,0.32358003442340794,0.4049777577566304,0.5093835479470643,0.0614569327867587,0.6778095238095239,0.31034897450474486,0.6591415100116342
5,uCBLOF,0.974584258048825,0.9056139354350089,0.9374641422834193,0.4817463445764589,0.5931177197380355,0.9910339540262745,0.8811972789115647,0.901315214063935,0.6379388892290736
6,LOoP,0.9852248198704893,0.8132159424405947,0.9328743545611016,0.5390740845017551,0.7949721750932016,0.5387135469336454,0.9024761904761905,0.92477150478856,0.7689639336231706
7,LDCOF,0.8312406895084059,0.9407365331818612,0.6523235800344234,0.43454023312123435,0.6034800689995643,0.4999843304396879,0.8129251700680272,0.9127181090654655,0.5119710979119466
8,HBOS,0.97333779223543,0.6996749660765564,0.8278829604130808,0.48818439476697256,0.5794911371403169,0.9957869011138636,0.78421768707483,0.9488345650938033,0.7771379584838649
9,OCSVM,0.9276745812178883,0.9195935498122376,0.9409064830751578,0.4997559922668318,0.5734550422621215,0.9893226851664298,0.7994421768707484,0.9135544671360476,0.5080301267528013
10,Nu-OCSVM,0.933177271759949,0.9107261194736345,0.9432013769363167,0.5119188392739832,0.5721397352769981,0.9901588536710213,0.7896326530612244,0.9075305024708095,0.5080301267528013
