,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.022567513013249767,0.29025374562957257,0.16886993603868725,0.01722335615329164,0.04278849313534332,0.7633710577319163,0.1427933385987486,0.5378075987068249,0.045951768170947316
1,KNN,0.04480310250423763,0.16948165303237744,0.08036640401712962,0.01740540786073985,0.07462001175885277,0.22046166560937475,0.20826162712515028,0.04428634249807486,0.08246836892640477
2,KthNN,0.04082821449669109,0.1685703081587922,0.08236259456658637,0.017186152893622474,0.07065843076246234,0.1832457771835449,0.20634147613630158,0.04435631560036672,0.08040915937762456
3,LOF,0.07119238798343352,0.1640878164322662,0.07103761320118887,0.017274371577793903,0.06916019292498167,0.19561217611977277,0.16216892286255677,0.06046224294801217,0.06872334552109038
4,CBLOF,0.0007783278772898229,0.09371559468594962,0.3296600178000767,0.016664299965607164,0.02761622232795466,0.025367342176312292,0.05465539469709586,0.027351316020093788,0.05536239246878384
5,uCBLOF,0.04940716139819694,0.1583028828286928,0.08427562156426043,0.017089975443816862,0.060712000331073795,0.14957946310394876,0.20180119572081023,0.04399901652158224,0.08100693435220051
6,LOoP,0.0465426046946647,0.1806172807511137,0.18848970601252735,0.016753868877290516,0.07705096171785447,0.17358545243490597,0.15906498415240305,0.05696417372496992,0.06280972608009543
7,LDCOF,0.0007437314067148321,0.19565911431972344,0.08314732142857142,0.0081426909654905,0.5155449134199134,0.0808960934145833,0.19770408163265307,0.045293343472745634,0.04922149349307994
8,HBOS,0.021609328837497124,0.23545376987315403,0.09123047068095491,0.015091423989275647,0.04459685531617653,0.9070437155465515,0.15311122639186517,0.6036415158437923,0.11552195356602395
9,OCSVM,0.003210329937900369,0.11836436668159298,0.11625091140428417,0.35714446331503075,0.09188908672598192,0.1789523641166777,0.06466588726100364,0.01223846930045472,0.08164903639071784
10,Nu-OCSVM,0.0011190553006342786,0.10092004834203422,0.11986707578734948,0.5081490104772992,0.09169463085370266,0.18786850365891566,0.08198141614296214,0.010805776638121352,0.08164903639071784
