,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6674672422703918,0.9011328852283127,0.9586919104991394,0.4821405109146536,0.5339101021557788,0.991086109457102,0.7677551020408164,0.9480638037346395,0.5871379584838651
1,KNN,0.9091600036481927,0.8756350784183785,0.8571428571428571,0.4945379807421589,0.531141951047715,0.9911691453872763,0.8363537414965987,0.8365712598941706,0.7021015247076113
2,KthNN,0.8759310491593956,0.8679825807062388,0.8623063683304647,0.49419073896803495,0.5295655187867361,0.9921535504803166,0.8205850340136054,0.8381237153977346,0.6890974220807053
3,LOF,0.9561608852947436,0.8015084098583105,0.8577165806081468,0.5107175704337708,0.5218255256875852,0.5655122404744998,0.8028843537414966,0.8479140245769012,0.64339844467577
4,CBLOF,0.5304472076125619,0.419546214774843,0.2811244979919678,0.496246034874336,0.5249851694234354,0.3080488288978286,0.38280272108843544,0.38181112520225646,0.43904721082603637
5,uCBLOF,0.8004438634359894,0.8721953990343652,0.7837062535857716,0.5038853539050622,0.5375483360740329,0.9707023555553178,0.8058367346938775,0.8453940175799186,0.6788145245239117
6,LOoP,0.9507189979630926,0.7926409795197071,0.8164084911072862,0.5122191564840363,0.5304508897006834,0.6009024392791799,0.7953673469387754,0.8547196833865396,0.6557161227114077
7,LDCOF,0.8535858693339008,0.7486193947426552,0.5960986804360299,0.47705388816937894,0.5359391515615738,0.8977349459476608,0.6754013605442177,0.8174662176936196,0.5758422631804543
8,HBOS,0.7742072781442859,0.8193063839187099,0.9667240390131956,0.45627569119882877,0.5189233107426492,0.9954236221042206,0.6938095238095239,0.9414877334149647,0.6703704610862775
9,OCSVM,0.43407411911348914,0.5194231436776169,0.5384394721744119,0.5454792874974191,0.5310189487676672,0.9874273308216176,0.5047619047619047,0.5332356671185551,0.7019233359867736
10,Nu-OCSVM,0.36180950354178704,0.4737606109375493,0.708548479632817,0.5005912495072921,0.5336548912558295,0.9900377012169006,0.4968095238095238,0.3308534132155508,0.7019233359867736
