,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.683580093028912,0.8292151850799963,0.8227194492254734,0.5008352572404602,0.5284431543665502,0.8454859563795112,0.8020816326530612,0.7660383959417502,0.6044455330353316
1,KNN,0.8706411698537682,0.8542396415159835,0.8330464716006885,0.49523246429040674,0.5273902838632615,0.9907841583038351,0.8323809523809523,0.79351248524074,0.7042263180454351
2,KthNN,0.8339160307664244,0.8483543185332449,0.8382099827882962,0.49524184920322084,0.5258427539298238,0.9915515336168121,0.8192857142857143,0.7916047142169939,0.6917665788990264
3,LOF,0.8854771531936886,0.7785982517592855,0.8175559380378657,0.5074938528821067,0.518748236846428,0.5774281385046449,0.7952925170068027,0.7898226702234662,0.6411842508113405
4,CBLOF,0.5079500197610434,0.35008993657104986,0.17555938037865748,0.49391857649642434,0.5199992947385712,0.35940523954426296,0.4376462585034014,0.5516574102418332,0.4703729104157737
5,uCBLOF,0.7991973976225945,0.7939663605667582,0.6855995410212278,0.49923982206205303,0.5331454737839151,0.9644582268631299,0.8077278911564626,0.779862902873136,0.6836017390239422
6,LOoP,0.912838597877968,0.7601060304837641,0.7464142283419393,0.5097743866959475,0.5247519979431363,0.6108105443146632,0.778904761904762,0.7822298508768093,0.6546457657216337
7,LDCOF,0.8308454686407442,0.7558143204266464,0.7682157200229489,0.49338363646601724,0.5360419277919426,0.9041554909578993,0.7122040816326531,0.7686185332575327,0.553394158349152
8,HBOS,0.6817559967166266,0.8227460633027233,0.7481353987378084,0.4897610601197515,0.49859239248334153,0.9378580398985223,0.7077006802721089,0.5583756067695805,0.5888971893944033
9,OCSVM,0.6783206153284893,0.4496828552494556,0.47619047619047616,0.5454792874974191,0.5303772947778516,0.9824202565884131,0.5409115646258503,0.47222799230331913,0.7066407445961669
10,Nu-OCSVM,0.49378287173562757,0.5255766985389252,0.51061388410786,0.5005912495072921,0.5328829257100822,0.9876187797259841,0.4848979591836735,0.38649582367603974,0.7066407445961669
11,RED1,0.712583224394248,0.8372936981286881,0.8250143430866321,0.49351502524541546,0.49238254886390415,0.6311481303411861,0.7848299319727892,0.7714774565968426,0.583208621639826
12,RED2,0.7106679232663484,0.8377354918110385,0.8267355134825014,0.49335548172757476,0.49239736270166906,0.883289191035381,0.7885850340136055,0.7755061879564438,0.6020108995162574
