,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8473231386617213,0.8122692416927009,0.901893287435456,0.5063817407136287,0.5978023239256816,0.911159911812224,0.8148707482993196,0.9477303537849303,0.5824634131406528
1,KNN,0.9499589578329737,0.8876897346082236,0.8806655192197361,0.5350761116429229,0.652410844688935,0.9600310537562738,0.8753469387755102,0.9225904141339047,0.6934517175923092
2,KthNN,0.9431185966619037,0.9007542049291553,0.8944348823866896,0.5301818796103384,0.6354344516413843,0.9574388753383287,0.8665034013605443,0.9210816897712861,0.6696858734921315
3,LOF,0.9335420910224059,0.7116665088832086,0.8823866896156053,0.5519924169904461,0.7138357115819998,0.5122814956251351,0.8778231292517007,0.9677264179822452,0.7490551711468987
4,CBLOF,0.7142553126805096,0.4855628135946227,0.27940332759609865,0.4847870563282467,0.4665819348624115,0.1319971147625858,0.5236598639455783,0.5864837976122798,0.5817990325148491
5,uCBLOF,0.942449761347399,0.8365047808387769,0.9024670109007459,0.5256771214595416,0.607047441998943,0.6358684134022387,0.8677278911564625,0.9183320942843398,0.6047835405057866
6,LOoP,0.9299243000030402,0.7348922338981981,0.8881239242685026,0.558730784391013,0.732990045658982,0.49186291198522625,0.8770884353741496,0.9592917741723882,0.7420047761925173
7,LDCOF,0.8969993615662908,0.8131528290574017,0.787435456110155,0.49993430561030094,0.595607671994515,0.501594728097458,0.7454285714285713,0.9039117505575721,0.6128491825362807
8,HBOS,0.8444957893776791,0.6503834138028969,0.8611589213998853,0.48328547027798113,0.5912412026448196,0.9968334748689553,0.7781496598639456,0.9304456203262343,0.8107599044761497
9,OCSVM,0.8683002462530023,0.8476127362807284,0.8921399885255307,0.47867278562982146,0.6073369116423486,0.9829297593486763,0.8436326530612245,0.8907104123846591,0.5466229869573205
10,Nu-OCSVM,0.8711883987474538,0.8271008867430338,0.8909925415949513,0.5258178951517541,0.6057148940500933,0.9821362426228856,0.8431428571428572,0.8924869899855686,0.5466229869573205
