,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0030652281418874737,0.3667106744600675,0.1770530219368608,0.014242762011768589,0.0,0.0,0.22366920375094151,0.1051887198090064,0.03400805746498797
1,KNN,0.005325518196545121,0.38550070219816557,0.18060093813285275,0.014805647513093162,0.0,0.0,0.24730946314066987,0.10418194366528882,0.03744476984922281
2,KthNN,0.004455584891772928,0.38054630680074775,0.18236672995609957,0.014910297832158345,0.0,0.0,0.22243826577534692,0.10573623946042934,0.03576760779183532
3,LOF,0.008708250703656863,0.2532365519990598,0.06879316954392264,0.01709719929398358,0.0,0.0,0.16556581331835374,0.11698851713920747,0.041982022862437934
4,CBLOF,0.0011111472617369186,0.0837772878374225,0.027460551692378002,0.01870701113098581,0.0,0.0,0.05222095690832031,0.010948593228066331,0.0493895393067311
5,uCBLOF,0.004017991468985595,0.44206838290756156,0.1707991888358582,0.015649253416275974,0.0,0.0,0.23732554986660298,0.11947931677132347,0.033269065038547964
6,LOoP,0.009874382424768745,0.2673349090920655,0.04189388645643987,0.0170210374873931,0.0,0.0,0.16782010197316594,0.07744615047119384,0.04194276711858358
7,LDCOF,0.003963778894109592,0.342127484755356,0.013671875,0.015044975068925291,0.0,0.0,0.10182684862562912,0.0340006922362738,0.029634884221925117
8,HBOS,0.0024635877433278465,0.3162066681926994,0.06731339819275836,0.014453601118408006,0.0,0.0,0.14633323661722344,0.0937063469627109,0.04079534834573291
9,OCSVM,0.0033060544168357926,0.3583018444566223,0.18138921511549197,0.015317008734384376,0.0,0.0,0.2311537403217724,0.08811907839458936,0.029742305848327703
10,Nu-OCSVM,0.00333450226385296,0.3613281828249499,0.18164688806622126,0.01566099592424545,0.0,0.0,0.23521793887423104,0.09474539671774912,0.029742305848327703
11,RED1,0.0029052783182073067,0.3529853636503435,0.1750099789672348,0.014690958515849714,0.0,0.0,0.2090045014912502,0.07906002067726728,0.029672127479844886
12,RED2,0.002889460071889377,0.3532926577203023,0.1757476611960478,0.014674741471742428,0.0,0.0,0.20562054520620276,0.10419009406068991,0.03468992382652862
