,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7292129024412488,0.8430370159992426,0.6850258175559379,0.4672278844529535,0.0,0.0,0.8004625850340136,0.789729741548957,0.45223929949176406
1,KNN,0.8121788830450247,0.8548076619647196,0.7119908204245554,0.4738817876381929,0.0,0.0,0.8244217687074831,0.7893470940656842,0.5041528381605536
2,KthNN,0.7914753899005867,0.8531982706933006,0.7240390131956397,0.4768474200874674,0.0,0.0,0.8135442176870749,0.7886145974548475,0.49088849427469233
3,LOF,0.8178943848235186,0.7598220202593959,0.7928858290304074,0.5175779417009215,0.0,0.0,0.7527755102040816,0.8092775615515809,0.5430304329189884
4,CBLOF,0.3769799045389597,0.38237243207422134,0.2679288582903041,0.4993993655798938,0.0,0.0,0.4512517006802721,0.39696396553986096,0.6071042802032943
5,uCBLOF,0.7740552701182621,0.8564801666193316,0.6104417670682731,0.49161927285695517,0.0,0.0,0.8043945578231293,0.7848591857261555,0.46068091359990204
6,LOoP,0.8824065910680083,0.7831739720407713,0.6959265633964429,0.5175169397676296,0.0,0.0,0.7660680272108843,0.7988914155770325,0.5405645704488395
7,LDCOF,0.7506764357158057,0.7806809934046512,0.4959839357429719,0.46609231000244006,0.0,0.0,0.6247891156462585,0.7100133379979884,0.4444381850468434
8,HBOS,0.6487398534642629,0.8283947110984885,0.6150315547905909,0.4773823601178745,0.0,0.0,0.7505034013605442,0.7192952726636638,0.5032839385218297
9,OCSVM,0.7448089259112881,0.8277004638833665,0.7125645438898451,0.484627512810406,0.0,0.0,0.8049251700680273,0.7840774915817554,0.4310293307207152
10,Nu-OCSVM,0.7182987261727419,0.8200953012086213,0.7171543316121629,0.45356345139553655,0.0,0.0,0.8069387755102041,0.7793053308260813,0.4310293307207152
11,RED1,0.7258079226583163,0.8422796554009278,0.661503155479059,0.4780205341892374,0.0,0.0,0.7923945578231293,0.7632177373507674,0.4004212846733207
12,RED2,0.7187547502508131,0.8425952223168923,0.6678141135972462,0.47719466186159126,0.0,0.0,0.7948027210884353,0.7863077797699742,0.458347927254914
