,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8318791232177059,0.4515447000536464,0.3132530120481928,0.5232182743022318,0.599269661059392,0.7009463140480539,0.797047619047619,0.4581602309004242,0.722426673198212
1,KNN,0.8689994831727115,0.45905519265360206,0.2822719449225473,0.5338138408694183,0.6407190162585078,0.7585269797979877,0.8213197278911565,0.4677318843748634,0.7644467577000795
2,KthNN,0.8655032985741646,0.4569566726624381,0.27882960413080893,0.5310828312404977,0.6256337867539405,0.7518597729773718,0.8212925170068026,0.4751880439060655,0.7736237829894067
3,LOF,0.7157753929407472,0.4028211682287229,0.2736660929432014,0.5302100343487809,0.6598447409369442,0.5880517436908363,0.7085170068027211,0.4564328508330783,0.566451533892597
4,CBLOF,0.4653877724743867,0.540818580580012,0.5025817555938038,0.5024119225932391,0.44874367496554035,0.5337788074674754,0.5362585034013605,0.42860344601390654,0.30122833874226934
5,uCBLOF,0.8651992825221171,0.45346965824102997,0.2971887550200803,0.5373519530003567,0.6042107734039666,0.6477232128866464,0.7830340136054422,0.4247715047885599,0.740338007470455
6,LOoP,0.7565135439151187,0.4112152481933794,0.25645438898450945,0.5136832028830451,0.6773774200956656,0.5955801903125427,0.6879863945578232,0.44952879695631254,0.5558336905272181
7,LDCOF,0.7883744261697017,0.44892549465114073,0.4934021801491681,0.5507066839349063,0.5777160711224906,0.6774777460394867,0.6847891156462584,0.44949599860060346,0.7887600269426245
8,HBOS,0.7270543884717113,0.5295212849884817,0.2564543889845095,0.518713516151435,0.5722837029037131,0.6152068624011321,0.7586666666666667,0.5092819346656754,0.6209025779192945
9,OCSVM,0.8610038610038611,0.5294266149136924,0.35054503729202524,0.5462160031533307,0.6243808038998279,0.5899024843769388,0.5478435374149659,0.45881073162198804,0.7514898046659726
10,Nu-OCSVM,0.8356489222630956,0.4955031714475055,0.38468158347676423,0.5,0.6339784550444939,0.5582924714514624,0.48515646258503403,0.4434173700091836,0.7514898046659726
11,RED1,0.8594837807436233,0.513301145507905,0.2707974756167527,0.5209377404883908,0.6025111993729423,0.6331749815978212,0.8197006802721087,0.48030458739668525,0.6225460780111444
12,RED2,0.8631319733681938,0.5144371864053773,0.2730923694779117,0.5205248043245678,0.5867436684932045,0.6339655937221882,0.8218367346938776,0.48228888791708574,0.6878501010348418
