,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.026343081223635975,0.1424506327338792,0.05108269615720156,0.02193929997415454,0.04604035419175083,0.12460990713336044,0.20600507210668553,0.03933223236708041,0.08362200036581449
1,KNN,0.05883854817854031,0.1421388773687979,0.03915020085113846,0.030689451704057485,0.05959339090010095,0.19682062064427058,0.203673313116409,0.0350734421940575,0.09802893979745643
2,KthNN,0.052693003737377044,0.1415199815776585,0.03907301235106535,0.02217665827509011,0.05450038115866321,0.16657528609538552,0.20373977220085665,0.03500056712129791,0.09980580774546906
3,LOF,0.044250338296606274,0.10664425423351906,0.017193949090914373,0.01647805543798394,0.05232194025749717,0.10430499883069383,0.11554133520019108,0.04080999091483444,0.044372817197086405
4,CBLOF,0.0020485298592311037,0.09936057205799528,0.019149315738401937,0.018685876056445616,0.02664847305598431,0.024841878605721627,0.04474182367304258,0.013580645097597873,0.022798081354320987
5,uCBLOF,0.019455652312629967,0.1478243895126816,0.03888501566543816,0.02148823129615966,0.0501770201776795,0.15659691062990475,0.17036911200716548,0.04896680558501397,0.11998134025446393
6,LOoP,0.027898635321316582,0.10566876931942498,0.016444962943277946,0.015224505154154546,0.055715080304214015,0.10901416881956519,0.09989856888312905,0.03817836411847794,0.0436290957928617
7,LDCOF,0.0054228969914673734,0.12029663791367096,0.015341938405797102,0.018399827194097627,0.042551862692717574,0.08562124472245113,0.10222212366437403,0.022238358655180635,0.12383797761137445
8,HBOS,0.011443901015055708,0.17513121929297737,0.017674474050412788,0.018437803541093728,0.03735034346695719,0.0751874336480559,0.16291440854965028,0.015096064751077103,0.07612559685259945
9,OCSVM,0.024818141317374812,0.13660524379221622,0.15995477051756662,0.023356993374598817,0.05090106531121276,0.13486932585258932,0.20685135078408462,0.034725397559452906,0.09309638350220342
10,Nu-OCSVM,0.025571486373897598,0.13471636594822647,0.15927577716995958,0.02430513113943051,0.05056998247878069,0.12929168070606883,0.19626981711920022,0.03360870215663849,0.09309638350220342
11,RED1,0.0217273958451154,0.16797533934013092,0.02708964938317368,0.01993973797350594,0.04777678198445589,0.12311708899937576,0.2034957512428389,0.046874236111088464,0.07248758781050371
12,RED2,0.022115565879239293,0.17323748182743273,0.03308053941195953,0.019907998819171754,0.03961983656948889,0.08095231459862069,0.2079458251342751,0.04739522783325705,0.08733204799941668
