,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0024483258808754775,0.35377449145612194,0.17101651454553618,0.014725887068419069,0.0,0.0,0.24416613691945563,0.08243357950333159,0.035927222905768094
1,KNN,0.006596308343506278,0.40358980176396986,0.17347703929184077,0.014428874280595385,0.0,0.0,0.24897395553179122,0.1129047751851106,0.04097434097434269
2,KthNN,0.005212173396034588,0.3793427218542477,0.17263868781427313,0.014533226887591842,0.0,0.0,0.22594663687928113,0.10803688138565391,0.03948213018309044
3,LOF,0.01467569817861005,0.29089497315028234,0.17361492332576509,0.01569577743738354,0.0,0.0,0.18247248556976978,0.09019440473977715,0.03891183325467104
4,CBLOF,0.0014730338618978238,0.07871074252916128,0.032979920059273304,0.01555385597023584,0.0,0.0,0.08848281491260221,0.012105976340209873,0.05577145558959653
5,uCBLOF,0.005028473449013495,0.3983829331165777,0.1791992573358243,0.014438997146746149,0.0,0.0,0.17517910293796216,0.09922643535684761,0.040900537858426914
6,LOoP,0.012507246050949982,0.293062978958908,0.06356686240016263,0.016045789132967638,0.0,0.0,0.16423245431720865,0.06656003150992347,0.040939583639766026
7,LDCOF,0.0032174878971730765,0.26872026899243795,0.054940648018594454,0.014321971759355102,0.0,0.0,0.13881305733087723,0.10214780971697844,0.03618816135428556
8,HBOS,0.0029132016159160567,0.29850552200768077,0.04522543122550212,0.014110728275537686,0.0,0.0,0.11385483165174942,0.02108121099711848,0.04319682090684357
9,OCSVM,0.003124835594417166,0.33702514963478847,0.17091956146374995,0.015754774149331838,0.0,0.0,0.2161292275061005,0.09182040177295292,0.03391320772157628
10,Nu-OCSVM,0.003162551612960411,0.33118485739673104,0.17277438945497473,0.017537506195966026,0.0,0.0,0.21771309292946656,0.09097417459851923,0.03391320772157628
11,RED1,0.002724668789497531,0.34169896164860636,0.17584192679283772,0.014759808530440777,0.0,0.0,0.1917169465175155,0.07902531211401723,0.037616912363068314
12,RED2,0.0027288340731889595,0.3409909589523535,0.1765407091078801,0.014745545527933902,0.0,0.0,0.19393217528128173,0.08413413632930883,0.03935686799614873
