,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6909980846988721,0.8292151850799963,0.6138841078600115,0.48368902152898985,0.0,0.0,0.8020816326530612,0.7650380460926226,0.4834327352887148
1,KNN,0.868695467120664,0.8537662911420366,0.6471600688468158,0.4691095594721925,0.0,0.0,0.8322448979591837,0.7798683692657541,0.5469671177515155
2,KthNN,0.8422156689873225,0.8484489886080342,0.6374067699368904,0.4722112731572723,0.0,0.0,0.8185442176870747,0.7715594524861153,0.5347345539158656
3,LOF,0.9408080746663424,0.7757897062072012,0.648881239242685,0.48842840250014075,0.0,0.0,0.7925850340136054,0.791757773210303,0.5326042495866756
4,CBLOF,0.5097741160733287,0.3523304616743981,0.5874928284566838,0.49445351652683145,0.0,0.0,0.5000544217687075,0.44943040188918526,0.5748135447921132
5,uCBLOF,0.8301462317210347,0.8418694184101739,0.6919104991394147,0.47326238339245824,0.0,0.0,0.7985170068027211,0.7385752394279966,0.5297850713367216
6,LOoP,0.9186149028668714,0.7644292972324781,0.6987951807228916,0.4948899149726899,0.0,0.0,0.7872789115646258,0.7603861459745485,0.554078745943298
7,LDCOF,0.7882832213540875,0.7758528195903941,0.6506024096385543,0.4621412617076788,0.0,0.0,0.732843537414966,0.7594021953032755,0.5062114996019839
8,HBOS,0.6535737086918189,0.8221464861623907,0.6247848537005163,0.4632392965069354,0.0,0.0,0.7063265306122449,0.5638256002099095,0.5366235992896945
9,OCSVM,0.7299425409661631,0.8103758401969137,0.6110154905335629,0.5232088893894176,0.0,0.0,0.808517006802721,0.7763534788122622,0.4388965770620293
10,Nu-OCSVM,0.7218253123764935,0.8003408122692416,0.6374067699368904,0.5020928355575577,0.0,0.0,0.802734693877551,0.7698867363449513,0.4388965770620293
11,RED1,0.6978992490803515,0.8372936981286881,0.6471600688468159,0.4810049364641403,0.0,0.0,0.7848299319727892,0.7528698561245463,0.4824040169003735
12,RED2,0.69622716079409,0.8377354918110385,0.6546184738955823,0.48062015503875966,0.0,0.0,0.7885850340136055,0.757811475051384,0.5014818443451106
