,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.002818035699439451,0.5138195405887784,0.43816649057514967,0.013852953485888024,0.034150537715138686,0.5998808753144715,0.15791793623437905,0.6611964594091305,0.058661109477985716
1,KNN,0.008725840856878268,0.439201701403389,0.18183880579974046,0.014452680081842091,0.08879684659184697,0.27279040157980367,0.25529864146649056,0.31801768794599383,0.04232638069230445
2,KthNN,0.00661809533899135,0.42102215822252703,0.1804633324160551,0.014489553944667846,0.07083543142920698,0.2657992426586987,0.23221926169179438,0.3477047605190827,0.04097854858057625
3,LOF,0.029285704043421873,0.2834600263341188,0.18588711350874865,0.015323442401642627,0.1065143177445842,0.02348863963610279,0.18662518721744822,0.4602218295277679,0.040357829255386356
4,CBLOF,0.0021478788206490055,0.08707854941177538,0.1688995965304074,0.015110959122684241,0.035894790077663635,0.6284611651653313,0.05289158486803908,0.03589565968086404,0.03599587346231983
5,uCBLOF,0.004318957349093393,0.5043873398607157,0.1824911710536226,0.013551019416799967,0.040520907389962973,0.929986390998737,0.18655806067810604,0.15444536744722526,0.04064638919164207
6,LOoP,0.02900405026414247,0.35886833166662974,0.11685179166212849,0.015444748548333526,0.13455685728127817,0.03610459525972387,0.19351297940599632,0.4378547522712867,0.044177967186564235
7,LDCOF,0.012926706348556739,0.38279579906349764,0.19273128025210925,0.01570604474284748,0.044607954418860805,0.938701935432892,0.11767542409279177,0.18344291504979895,0.038378853759969606
8,HBOS,0.0033890686579665197,0.3213857249419493,0.4148834106292089,0.01578696999787191,0.034396601404241535,0.9400815991238555,0.10162632607447525,0.5722783655928202,0.11386454683646174
9,OCSVM,0.002701431079202242,0.11475288221168194,0.01846499908797832,0.3458861788295153,0.04063751205564939,0.9282211381817919,0.0633816987503939,0.30638098012035364,0.03990394379025147
10,Nu-OCSVM,0.0018863382828536383,0.10283754875845658,0.043353467016576164,0.5082127493156042,0.04012457362833243,0.9278314400319128,0.05936936790035999,0.012384948042429868,0.03990394379025147
