,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7708022983613534,0.45962321310233833,0.27423981640849115,0.5115528276742309,0.6236886824288133,0.6748159591032119,0.8183537414965986,0.0,0.817963994856408
1,KNN,0.7756361535889095,0.45066111268894565,0.30981067125645434,0.5037258103872215,0.6336079556613746,0.7647833638698667,0.8225170068027211,0.0,0.8456861184250812
2,KthNN,0.7715167360836652,0.4471898766133358,0.3138267355134825,0.5069917600465492,0.6291297687724523,0.759982185111268,0.8110476190476191,0.0,0.8305841650848079
3,LOF,0.5013528714316116,0.4227334406260847,0.28858290304073436,0.5019426769525311,0.606051162587756,0.6077668532490899,0.6726666666666666,0.0,0.7330708468556733
4,CBLOF,0.3944000243212842,0.48720376155763834,0.3339070567986231,0.5447003397338438,0.4407182853309194,0.371678199717846,0.40368707482993194,0.0,0.6643634804972139
5,uCBLOF,0.7377861551089898,0.4314430875067058,0.3557085484796328,0.5092816787732042,0.6227730979813454,0.37714848144125307,0.801795918367347,0.0,0.7842079480742146
6,LOoP,0.5881798558963913,0.4320742213386348,0.29604130808950085,0.48781838316722037,0.6158809529867374,0.6717413620593318,0.6802789115646258,0.0,0.7206968342416263
7,LDCOF,0.7442920986228073,0.4998895515794124,0.5605278255880665,0.48325731553953855,0.5923819378977139,0.5620571151651532,0.7203401360544218,0.0,0.7010997489437267
8,HBOS,0.7652540054114858,0.4955978415222948,0.34308663224325875,0.502693469977664,0.6222988459378728,0.4991381741828324,0.797265306122449,0.0,0.8785193803196374
9,OCSVM,0.6650047122488068,0.44447600113604085,0.5685599541021228,0.5087655085684254,0.6234894070179762,0.34212408406324185,0.7637278911564626,0.0,0.5024921927622313
10,Nu-OCSVM,0.626516280059587,0.45012464893180604,0.5140562248995983,0.509628920547328,0.6185163096169091,0.33341481504695647,0.737482993197279,0.0,0.5024921927622313
11,RED1,0.7890128598790016,0.4769478367887911,0.27940332759609865,0.5111868160744787,0.6292316243688357,0.6643782484081383,0.8213061224489796,0.0,0.5668495499357051
12,RED2,0.7836013741525553,0.4777998674618953,0.27653471026965004,0.5109334234284963,0.6171120638091974,0.6643782484081383,0.8258503401360544,0.0,0.7902737125711836
