,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8882132976621165,0.9094954085013727,0.9162363740676993,0.5080053306304785,0.5765096779276384,0.9840737136883418,0.8004217687074829,0.9533880701447499,0.6821633702773866
1,KNN,0.9808773903262092,0.9447126763230144,0.8646012621916236,0.48656080485012293,0.6629563443175569,0.9910034811902853,0.8928299319727891,0.9254712030436875,0.7686424591268141
2,KthNN,0.9720001216064209,0.9438133106125154,0.8663224325874928,0.4832948551907953,0.6371877014235569,0.9927746765637139,0.8870068027210884,0.9249354965671055,0.7613232502602413
3,LOF,0.9304715288967257,0.7468206633216573,0.8737808376362594,0.5035474970437525,0.7278369085177725,0.49502744975740204,0.8759319727891156,0.9516442908995496,0.7614769456861185
4,CBLOF,0.5298695771136716,0.2751743507210704,0.22145725760183593,0.49846087429847774,0.45798681228083327,0.40669974345235327,0.44661224489795914,0.3417151353478812,0.45161349580552324
5,uCBLOF,0.9606299212598425,0.9021426993593991,0.897877223178428,0.4792593426807065,0.593843374604518,0.9871369980740454,0.8733469387755101,0.9234049066340141,0.7585989835282592
6,LOoP,0.9352749825190769,0.7655653381299503,0.8697647733792312,0.5129417947707265,0.7466984391404023,0.4783480818292467,0.8525850340136055,0.9432151134823107,0.7262329312350744
7,LDCOF,0.9335724926276107,0.8001199154280665,0.8726333907056798,0.43481239559284496,0.5589796630278747,0.895734745683036,0.7218095238095239,0.9186491450561945,0.7216275794501256
8,HBOS,0.8482047852126592,0.8584366814983118,0.934021801491681,0.4597574938528821,0.5640174000939158,0.9969334543074346,0.7237414965986394,0.944324791183802,0.7738913722368501
9,OCSVM,0.935761408202353,0.9210136009340781,0.868043602983362,0.48778084351596374,0.5919815179100694,0.9739303359375379,0.8754693877551021,0.9317411553767437,0.6359953462739576
10,Nu-OCSVM,0.9335420910224059,0.9087380479030578,0.8686173264486517,0.4986344951855398,0.584263731618566,0.9782366368588314,0.853687074829932,0.9340097083132899,0.6359953462739576
