,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9296506855561973,0.8032755845877118,0.408491107286288,0.47406010098166185,0.5866754718332869,0.8756749567558353,0.8493741496598639,0.7337702803166134,0.7089865899210092
1,KNN,0.9240871918037271,0.8170027454321688,0.39931153184165236,0.49351033278900835,0.6550593412768981,0.9597853346674117,0.8641904761904762,0.7590632789609482,0.7871642887759476
2,KthNN,0.9305019305019305,0.8141468648426899,0.3924268502581756,0.4949884565572386,0.6317037777015976,0.9473650551479347,0.8617619047619048,0.7631029431057856,0.7865005204825177
3,LOF,0.758702459489861,0.7082268294991954,0.3884107860011474,0.5050396981812039,0.7040056561520223,0.6705663743465602,0.7629387755102041,0.74672016442909,0.7427750903190252
4,CBLOF,0.5683276076976864,0.2795607308529774,0.3367756741250717,0.4500816487414832,0.4703881426359994,0.4733937235639867,0.506095238095238,0.48782087724668743,0.5089706692792848
5,uCBLOF,0.8891253458182592,0.7791031588248287,0.3316121629374641,0.5031251759671153,0.5925515298370221,0.9237112041432866,0.8156734693877552,0.7402151572134517,0.7587104280203294
6,LOoP,0.7789803301614325,0.6775221685758465,0.36374067699368906,0.5012763481427257,0.7230175011962663,0.6596994450937332,0.7178367346938777,0.7361098963571959,0.6865164411242421
7,LDCOF,0.8665977563615358,0.7232793713907033,0.34251290877796897,0.542654428740357,0.5797835639716752,0.9102769129794153,0.7425850340136054,0.6845563475751083,0.7107941950890944
8,HBOS,0.8301766333262396,0.8466344788412383,0.5152036718301779,0.4843835050772378,0.5668589787368143,0.835954124623198,0.7713877551020408,0.6233491494293086,0.739757516379891
9,OCSVM,0.9473444197853648,0.7553409700526996,0.34366035570854847,0.5125194736940895,0.594625690308101,0.8933381437609543,0.8536326530612245,0.7367057331525778,0.6611389382156635
10,Nu-OCSVM,0.9444562672909129,0.7419609328158038,0.36259323006310956,0.49633519154607064,0.5857055281336818,0.8830614091342581,0.8403809523809525,0.7281453623125027,0.6611389382156635
11,RED1,0.9339069102848631,0.8415854081858058,0.5088927137119907,0.48804362107476024,0.5915403110470722,0.9132921950047479,0.8357278911564626,0.7508910219967638,0.6997918069928357
12,RED2,0.9359438178335816,0.8466975922244312,0.525530694205393,0.4879873115978753,0.5795448128914646,0.9077060859298305,0.8379863945578231,0.7524708094634189,0.7100753168820035
