,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.014799248969713184,0.28816118135114777,0.053599241556600716,0.01419508591861172,0.05117551113734245,0.16850889748936684,0.2258823938549336,0.07903785498456807,0.04956130500760442
1,KNN,0.01496052392189827,0.2949017319912205,0.053404631628705394,0.015220431014096944,0.07367864031045239,0.2972440735406863,0.24019405883154213,0.04897387805638405,0.04946966937950989
2,KthNN,0.014548053136780224,0.29195135302236547,0.05369104848543891,0.015208443064916432,0.07007515481065513,0.2750979601645161,0.23164609768842234,0.04636808615870902,0.04665506392961788
3,LOF,0.03417076225207764,0.2556922171805077,0.030106840112886057,0.015116700011226645,0.05802592221019128,0.0382478373308086,0.22178642070986768,0.0524946294057743,0.07963096410206953
4,CBLOF,0.0009970814243893944,0.09010227414183367,0.020752793215508998,0.030197318099566745,0.03289098144205858,0.044765639211275146,0.049825505156602876,0.02916062785696036,0.05620655452498061
5,uCBLOF,0.011733313070671662,0.29950411098372154,0.05255510204480557,0.015013010825341042,0.06460320492507947,0.20163910428427803,0.21155178465523994,0.04467393841164608,0.03634804971169547
6,LOoP,0.038746760383245676,0.27125342094066335,0.028978918681304387,0.015183375449945953,0.06452976282254375,0.04754841519327603,0.21415648019950573,0.0538670637612756,0.0804423472236643
7,LDCOF,0.0007437314067148321,0.17539820159560635,0.08639407467532467,0.0081426909654905,0.39715925714518,0.15844670064538424,0.2000297619047619,0.05494022866573122,0.03334050159351236
8,HBOS,0.012419634001189677,0.31605962629907713,0.04298053992188951,0.01579969401507064,0.07692574070595606,0.20732100428842182,0.28364630862323487,0.113868475920307,0.06595413431347219
9,OCSVM,0.009634101677652876,0.26918793039852,0.05357746788250791,0.015113492641653665,0.06425568774128843,0.2022978779786635,0.1882169989756903,0.03978614670577553,0.03293216231312572
10,Nu-OCSVM,0.009609626143882909,0.267302535100636,0.05282634988519168,0.015005876345807006,0.06325630074188342,0.20151497585621622,0.18363793812123333,0.038681744286224645,0.03293216231312572
11,RED1,0.011732010787461545,0.3177418707202717,0.05507856556670597,0.015850258199388064,0.0717682342863051,0.2183327064615584,0.251883579138442,0.07133441210478911,0.03171505419921957
12,RED2,0.01502014242966812,0.3199481406611024,0.05568868340150463,0.01575128144666475,0.053315365467261906,0.3108739291011957,0.2847919784738244,0.0683202000584233,0.057029936150158396
