,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.012583706784554338,0.29113524280280484,0.0534884300348432,0.01515863292550294,0.045753910235491774,0.16152321668142455,0.23824458268420373,0.06600631442423177,0.03954606517103002
1,KNN,0.021841255161303034,0.32313517992861474,0.05370629424746563,0.015612490826667205,0.06697631454602623,0.36751790361925324,0.2989540692576476,0.06131109965912509,0.09012063849171276
2,KthNN,0.020278779054952924,0.3121694427202163,0.05387524979345561,0.015592993618536853,0.06194107797508387,0.3516468607596984,0.2968411601471761,0.061163947089293,0.08675233817707338
3,LOF,0.07477204226768085,0.2644540562752014,0.16105384834775505,0.01593401513284628,0.07267717621475758,0.05874311383330426,0.23460370960479293,0.056462098619714275,0.08255413571105752
4,CBLOF,0.001451999365232674,0.07587818208916328,0.025733283924161694,0.017768164848114294,0.027546671815607326,0.030282254155238313,0.055922577018794606,0.012977343027256814,0.06145002468767326
5,uCBLOF,0.018616082826917624,0.3375012768128496,0.05334252395618319,0.015818765632454136,0.0529441998712087,0.3425933767566587,0.3073783680240876,0.05821516132630182,0.08722726487309836
6,LOoP,0.03993279818763411,0.27712965453982474,0.16122191837092348,0.01578128290476833,0.08008528116896721,0.04813943739698835,0.22575056338875943,0.05594758827491248,0.07498435651480602
7,LDCOF,0.02624505204315504,0.29842485294132154,0.08909970238095238,0.01980868518187711,0.058989406262777495,0.13216628880285533,0.13708337836676546,0.03359103811393254,0.04433941540254634
8,HBOS,0.010711298357686179,0.34665439845360163,0.0390007690846332,0.015973290739739895,0.05745227172720571,0.2780527230674645,0.26451953031932407,0.11746812935825851,0.08075869921646618
9,OCSVM,0.09693255577631682,0.10296213303276093,0.025180001576917965,0.34543133598236125,0.07983530558611059,0.34657719179159624,0.057161678757353535,0.013536211989661685,0.09002178219856394
10,Nu-OCSVM,0.0032506515994269783,0.11444452642031022,0.026860041501166283,0.5081521739130435,0.0793421180446629,0.34756238097785336,0.06466848372777848,0.011541356143572391,0.09002178219856394
11,RED1,0.012470758907550566,0.33439353672102523,0.05750382296351986,0.015804012434667024,0.06701358901217136,0.2479369507535705,0.2672594119076896,0.08955201014867842,0.0400591222920701
12,RED2,0.013982727758020275,0.3395683254372777,0.05890410796404121,0.01566335289840773,0.044656643419704226,0.2078869504496474,0.27875342726997676,0.09607686451672647,0.05975640817435266
