,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0038155559181288923,0.43139406250739326,0.40361000460790375,0.01520162942120688,0.034150537715138686,0.5998808753144715,0.17982350209244702,0.6223876830342132,0.04792318554265548
1,KNN,0.00585148431611302,0.36082925659261517,0.23508375620951963,0.01567642446750852,0.08879684659184697,0.27279040157980367,0.2715394783221026,0.10574371369982734,0.03585049305453644
2,KthNN,0.005114982847786469,0.3588092905875885,0.2373285710033561,0.015937672419995767,0.07083543142920698,0.2657992426586987,0.26032284270689776,0.10921294937517638,0.03456885389030399
3,LOF,0.02232212328495107,0.2528219558307109,0.2743305982979597,0.015990424412657113,0.1065143177445842,0.02348863963610279,0.2635907850762489,0.15428285267001557,0.04734688448909081
4,CBLOF,0.0062066090165612976,0.09162925774017693,0.16913307579334916,0.016541586479247,0.035894790077663635,0.6284611651653313,0.04881455257386508,0.055256012304213,0.03965714968099307
5,uCBLOF,0.0038750704212356605,0.3493633980149566,0.25183598078529296,0.014871711831373015,0.040520907389962973,0.929986390998737,0.26587276922421293,0.09467681317405775,0.032588241355918014
6,LOoP,0.01525325732415124,0.26899133731819136,0.2861609679331196,0.016648127632702257,0.13455685728127817,0.03610459525972387,0.28939934347823665,0.17232114328175258,0.05422745172985341
7,LDCOF,0.0007437314067148321,0.15709146503778845,0.08314732142857142,0.017775542367641044,0.04303798783049895,0.9211392759311268,0.16830357142857144,0.12250756641895465,0.025912520418600447
8,HBOS,0.0040092393141354715,0.36498821783812424,0.33134650765761764,0.015311238759232714,0.034396601404241535,0.9400815991238555,0.15565388363923513,0.6104466071294758,0.09401846062264425
9,OCSVM,0.005915687667982634,0.3807386062470571,0.028605845698298535,0.04067213346446612,0.04063751205564939,0.9282211381817919,0.07730159194117833,0.1478340449893734,0.03193154692972205
10,Nu-OCSVM,0.006139554636594359,0.24313599170110334,0.13507502021328138,0.013905998940813553,0.04012457362833243,0.9278314400319128,0.06864774401266055,0.1320500225208891,0.03193154692972205
