,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8074058310278783,0.9116097068383351,0.9483648881239242,0.48373594609306075,0.5732804007848935,0.886654477532271,0.7906938775510203,0.9483261905803123,0.5708903312718143
1,KNN,0.938375946249962,0.8231247436018807,0.6827309236947791,0.4825440621656625,0.6527365538337655,0.9101839147759367,0.8806530612244898,0.8488050465736651,0.782718755740616
2,KthNN,0.9365518499376767,0.8164978383666256,0.6804360298336202,0.4815023368432907,0.6322610960387519,0.9233248666749729,0.8748299319727892,0.8487558490401015,0.7749727512093565
3,LOF,0.9065758672057884,0.7849727034617691,0.6913367756741251,0.4834919383598927,0.7079166069649476,0.6120186291962891,0.8471836734693877,0.8703590326671623,0.7520311064845999
4,CBLOF,0.5562885720366035,0.37625043390450946,0.7269076305220883,0.47706327308219304,0.43626621096958274,0.08670112950776943,0.40512925170068026,0.5560414571216163,0.5196521952115608
5,uCBLOF,0.9185845012616667,0.7779986746189529,0.6890418818129661,0.48343562888300773,0.5985519431737836,0.9800590449415729,0.8718775510204082,0.8245233305636944,0.7522172555262997
6,LOoP,0.8514881585747728,0.775631922749219,0.7183017785427424,0.4824642904067421,0.7254553120915733,0.5842598884480179,0.8510748299319729,0.887605501377531,0.7161239360725001
7,LDCOF,0.9631228528866325,0.5039288081037584,0.5599541021227767,0.4996058336618053,0.5004734848484849,0.9811884253162002,0.7894421768707484,0.7996020466173963,0.4997856836690956
8,HBOS,0.8732861095065818,0.8387768626337215,0.9368904188181297,0.45768342812095275,0.5593831238974711,0.9973089632178092,0.7690884353741497,0.9408481654786374,0.7944449207029575
9,OCSVM,0.948165263125893,0.44595916564107413,0.4050487664945496,0.5454792874974191,0.6100312306945843,0.9743732112177745,0.4600408163265306,0.866893339747234,0.7570105933500704
10,Nu-OCSVM,0.809412336971392,0.5379469216447348,0.5622489959839357,0.5005912495072921,0.6098375348836587,0.974100637305223,0.4644353741496599,0.5022521537586916,0.7570105933500704
