,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.015360331351576141,0.307940974477906,0.16087043772667511,0.01683488743533621,0.05036744420769519,0.3473958611040415,0.26181580408623706,0.10714781688859319,0.0610841766865764
1,KNN,0.02097142208102723,0.29606221963356494,0.05322265364531705,0.015778610958702796,0.06416132798057743,0.32077783339688853,0.2648797494023038,0.09961731448808234,0.09600806064728887
2,KthNN,0.01848951685534085,0.29703686354220393,0.05329283321175751,0.01772346096988044,0.0596867763827397,0.2920489856875274,0.25561386135267683,0.10133580170488449,0.09697240994691467
3,LOF,0.006692106225535106,0.1896045795670076,0.020978967797424093,0.016048093537821394,0.04860970678379709,0.032028735684196855,0.13177671700742455,0.05426977482355524,0.06939273472215987
4,CBLOF,0.001358436136467041,0.10245974759120702,0.02646725936929413,0.02375283231498125,0.02842522127627288,0.01749644238138375,0.04701679794584749,0.03264258139367174,0.06965913206106422
5,uCBLOF,0.014545335397640427,0.27751036597291134,0.04138533465150868,0.01880870086103638,0.054929239603811686,0.2571910021644144,0.193289198801935,0.08731607580111382,0.10275532692378705
6,LOoP,0.010641184783184255,0.18716777557441497,0.01928148439576961,0.013454445153461114,0.053457343577715186,0.03567122253674658,0.11303230261939334,0.050914069284602424,0.06422067368188497
7,LDCOF,0.026981837129480372,0.31702002355712605,0.26171875,0.017900030574201788,0.039228484489524276,0.10397752693805717,0.1163392857142857,0.03543962988721202,0.08049514235795616
8,HBOS,0.009461430055177278,0.40465403047282156,0.03875271199552473,0.01446664656690913,0.048073309521027015,0.29968750270563344,0.24266451694599128,0.12879557519420307,0.11138681279580975
9,OCSVM,0.014537565808004037,0.2759058540620301,0.05179366405065868,0.01889293430766719,0.056895159629130165,0.20145218057899983,0.25277466704295787,0.09677133353035075,0.05655608218449014
10,Nu-OCSVM,0.014707423175806367,0.2738140999181534,0.05217981593575573,0.019227662173029444,0.055663359954838794,0.205058320831616,0.24417856942138516,0.09461513019161244,0.05655608218449014
11,RED1,0.013468163261103554,0.32032229869698314,0.055000955103698776,0.016038644804495388,0.05554630116872235,0.21946243275512034,0.2776631335970605,0.11415308946199104,0.052669296209615746
12,RED2,0.014561307527771232,0.32943856194822274,0.056003349115545185,0.016125610478494413,0.04404174299460763,0.3140998046076,0.278759502733682,0.11962506123123726,0.1071396640695238
