,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.014799248969713184,0.28816118135114777,0.053599241556600716,0.0168844429461908,0.05433305466501217,0.31360605087838134,0.2258823938549336,0.07903785498456807,0.04771027350432349
1,KNN,0.01496052392189827,0.2949017319912205,0.053404631628705394,0.017896590840096083,0.07442635866253292,0.30094561973454725,0.24019405883154213,0.04897387805638405,0.06541124219883337
2,KthNN,0.014548053136780224,0.29195135302236547,0.05369104848543891,0.017724815147173282,0.07029293730261556,0.2780936381008316,0.23164609768842234,0.04636808615870902,0.0621591909029025
3,LOF,0.03417076225207764,0.2556922171805077,0.030106840112886057,0.017024125799874154,0.0585846250666011,0.03698893146405724,0.22178642070986768,0.0524946294057743,0.0898791033007095
4,CBLOF,0.0009970814243893944,0.09010227414183367,0.020752793215508998,0.018181211204649217,0.03333556941371608,0.12259242593824857,0.049825505156602876,0.02916062785696036,0.06707115183567056
5,uCBLOF,0.011733313070671662,0.29950411098372154,0.05255510204480557,0.020224127732362894,0.06450722976456924,0.20215003744303975,0.21155178465523994,0.04467393841164608,0.057110385120602535
6,LOoP,0.038746760383245676,0.27125342094066335,0.028978918681304387,0.01678813797297106,0.06611840941412438,0.044587243679471686,0.21415648019950573,0.0538670637612756,0.08483573976126195
7,LDCOF,0.0007437314067148321,0.19112412677531307,0.09029017857142857,0.0159462708448588,0.39348560306089075,0.18767724539462155,0.22111819727891155,0.05413481083282911,0.020244220765807217
8,HBOS,0.012419634001189677,0.31605962629907713,0.04298053992188951,0.015885931007620806,0.07639657923956955,0.20802264798255007,0.28364630862323487,0.113868475920307,0.06326775070750174
9,OCSVM,0.009634101677652876,0.26918793039852,0.05357746788250791,0.018125608663107987,0.0631533154745336,0.20286309175109324,0.1882169989756903,0.03978614670577553,0.02409241315102035
10,Nu-OCSVM,0.009609626143882909,0.267302535100636,0.05282634988519168,0.018294781878464658,0.06215335864182367,0.20204501027301056,0.18363793812123333,0.038681744286224645,0.02409241315102035
11,RED1,0.011732010787461545,0.3177418707202717,0.05507856556670597,0.016445704981684718,0.07078348765960035,0.2181398431337976,0.251883579138442,0.07133441210478911,0.03331979046512991
12,RED2,0.01502014242966812,0.3199481406611024,0.05568868340150463,0.016703967566235853,0.052851275155096904,0.32065956831653636,0.2847919784738244,0.0683202000584233,0.0942383216942353
