,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0034384172665972773,0.4284171022285523,0.24791425505711218,0.016172271697268793,0.038963890730434096,0.10713336823198498,0.16933551239998895,0.6160121037252442,0.1404997950379789
1,KNN,0.038938248534510306,0.7099574705289167,0.2631471399184533,0.015584857420782736,0.0904756096416254,0.2581701553678449,0.3724861999813218,0.6005469315407368,0.06562371525817295
2,KthNN,0.037361105994759614,0.7802898658952475,0.29804548795687896,0.015064420510524971,0.07542455398622706,0.24991813154812473,0.32639156588753226,0.5141099013142785,0.06001712086366976
3,LOF,0.03706987432105321,0.34378932324240885,0.3760155478200591,0.01722660958552301,0.10866202233871171,0.027661590734887873,0.42307273297105735,0.6244965733949879,0.09478920695997364
4,CBLOF,0.0012053761792452276,0.09623295900690886,0.014258625610308398,0.026094176598457457,0.038821220991840336,0.012537516508888973,0.24242580630701666,0.04530194096381549,0.09367426621810747
5,uCBLOF,0.014006637480063346,0.6570586725319423,0.4084353321748279,0.014592232066347839,0.054650850574071895,0.8987525993722598,0.31114519963070764,0.5740712166626096,0.04847479710921704
6,LOoP,0.03845370457868691,0.34692523925317714,0.45976345289181214,0.018765415500722554,0.13406021661320086,0.039416179028870416,0.4209837849661891,0.27054812347417473,0.09362822772707755
7,LDCOF,0.024250410175951302,0.7668358395989974,0.22286086309523812,0.01717306786952908,0.05405610789942867,0.9131983397481935,0.22444728309948409,0.3507617170454139,0.03340219150368276
8,HBOS,0.004760468447045481,0.35067741296076205,0.1691649369402447,0.015028308430113813,0.047449700324916175,0.8749375085742068,0.1615650723299864,0.5731026895184814,0.12456955072796966
9,OCSVM,0.0032815058523905745,0.6192433795751986,0.28214839106609607,0.014659144315900532,0.056504942247402754,0.9014236688066612,0.19962208282925287,0.6142705295469755,0.035371619914021976
10,Nu-OCSVM,0.003486190535906767,0.5919950726609788,0.281045881096591,0.013389117099050855,0.055666165253544175,0.9006347828448938,0.207372953554902,0.5986143106873737,0.035371619914021976
