,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0027995993753833583,0.5215982259864828,0.4568354264782836,0.015818933794351557,0.034150537715138686,0.5998808753144715,0.14766291848069346,0.6160121037252442,0.11134881359287149
1,KNN,0.025211808813559444,0.637510102067909,0.29032607179769393,0.014999942211811642,0.08879684659184697,0.27279040157980367,0.3097430273940233,0.6005469315407368,0.047096736941957595
2,KthNN,0.0192150558120956,0.6409878605647619,0.2943003501054276,0.014602700295988636,0.07083543142920698,0.2657992426586987,0.26774417635766357,0.5141099013142785,0.044644441791335025
3,LOF,0.11384661302434691,0.24809681042699666,0.46443720083341244,0.01786479678937136,0.1065143177445842,0.02348863963610279,0.3096762824800025,0.6244965733949879,0.06170044547314943
4,CBLOF,0.005282511934186696,0.10442542883304474,0.032519740803007645,0.020521546338530004,0.035894790077663635,0.6284611651653313,0.09418486574885843,0.04530194096381549,0.06009026522138651
5,uCBLOF,0.01022185622982974,0.6792531063995706,0.32038616517662444,0.01464336277462935,0.040520907389962973,0.929986390998737,0.22472268128946216,0.5740712166626096,0.04111513466807218
6,LOoP,0.06766191425797338,0.2249190949800585,0.5099319658352641,0.02036270372852158,0.13455685728127817,0.03610459525972387,0.29359056628436847,0.27054812347417473,0.07061081581282262
7,LDCOF,0.05847149031814265,0.4471029432838757,0.12744360902255636,0.01537878940030555,0.041529923796802946,0.9162774111907958,0.1568984982467911,0.4349342821549431,0.043839428860967714
8,HBOS,0.0038612159819280227,0.3974260190165571,0.3626309754671099,0.015708251589560566,0.034396601404241535,0.9400815991238555,0.12801021770305976,0.5731026895184814,0.08567676686084524
9,OCSVM,0.004107383815450954,0.5852397005646798,0.3341168618084338,0.018428676440006724,0.04063751205564939,0.9282211381817919,0.24460346580808823,0.6142705295469755,0.03598008905340387
10,Nu-OCSVM,0.004539521923174844,0.5883007596394892,0.33450948361509236,0.01759916795028037,0.04012457362833243,0.9278314400319128,0.26292047853183365,0.5986143106873737,0.03598008905340387
