,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.896330526251786,0.74101423206791,0.3947217441193345,0.5197458565609926,0.5902644099863232,0.5939899719909795,0.8429387755102041,0.7036668561682774,0.7605786540934418
1,KNN,0.9265497218253124,0.7710562024677332,0.3998852553069421,0.48402687839029973,0.6541381493315193,0.7625633820975145,0.8792517006802721,0.7023549219399134,0.7266805462004776
2,KthNN,0.925242452801508,0.766575152261037,0.4107860011474469,0.48947951273532664,0.6341553562596862,0.7421409256557073,0.8720340136054421,0.6995779944898763,0.7198769211928234
3,LOF,0.9362782354908339,0.7249834327369119,0.4033275960986804,0.4843741201644237,0.6945739283597225,0.6652548265430631,0.8439319727891156,0.7045250798093322,0.7153842385646929
4,CBLOF,0.4994983735141215,0.31645050332923097,0.3253012048192771,0.5196144677815944,0.4309112178525772,0.5031340649361867,0.40763265306122454,0.5007051646477456,0.5727120200845018
5,uCBLOF,0.9304715288967258,0.735649594496513,0.41308089500860584,0.5082305685380183,0.6002093354294775,0.5850772025223151,0.8635374149659865,0.6975007652949665,0.6768538362623232
6,LOoP,0.9223238987018514,0.7008110069740288,0.40218014916810096,0.4813521782382642,0.7119339328501846,0.6994080473256392,0.8312517006802721,0.6956749901604933,0.6848594697201641
7,LDCOF,0.8446173957984981,0.4960238568588469,0.5576592082616179,0.4887662593614505,0.5777779488855084,0.5046481266467371,0.7561768707482994,0.6368511391962215,0.5403661747596595
8,HBOS,0.8939287994406104,0.7871501151819243,0.4784853700516351,0.4809767817256978,0.5933707545940192,0.5029816752772811,0.8505578231292518,0.7018848121747496,0.8198297716000245
9,OCSVM,0.8967257471194479,0.6838019502035406,0.38152610441767065,0.5017737485218763,0.5925515577350217,0.5166153902599542,0.8403129251700681,0.6744489876240871,0.4361496540322086
10,Nu-OCSVM,0.8962393214361718,0.6708637066489949,0.3752151462994837,0.49387165193235355,0.5841260270927517,0.5048908901762559,0.8251156462585034,0.6695620326234311,0.4361496540322086
11,RED1,0.897212172802724,0.7893906402852725,0.4939759036144578,0.4827693000732023,0.6012497634249638,0.5622234927730204,0.8615646258503402,0.6523538286613897,0.46720225338313637
12,RED2,0.9099504453835162,0.7966486793524568,0.5243832472748136,0.4841864219081404,0.5863075390661268,0.5697259253767127,0.8631020408163266,0.6704366554423404,0.7614279590961973
