,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0030389937647099753,0.3492917532634657,0.23885099910493565,0.015346756144498635,0.03224889114375903,0.07817541907589333,0.22986979990563078,0.1460841509937249,0.04188880077722635
1,KNN,0.004942059266062657,0.35184551456995855,0.2999542162437101,0.016309747688740307,0.03457210064671913,0.3419025852252231,0.28626798161234224,0.08133656516825673,0.04105160987452204
2,KthNN,0.004496178920823479,0.3498422499537013,0.3035099705368462,0.016225860180531293,0.03475531868533263,0.28963975168706996,0.26542578093379793,0.08344334962675784,0.03924099103959011
3,LOF,0.006430152593598003,0.2782986064437868,0.32803584897234217,0.01626415154296473,0.03475581617823946,0.08904675294518331,0.31918197533557363,0.11035476134056514,0.051401614548957045
4,CBLOF,0.0008956955425527975,0.11699804447196355,0.029525327154740287,0.018620275282215923,0.031372118346853335,0.07610533591208227,0.049461772605124674,0.019116471498113168,0.04882556533385898
5,uCBLOF,0.0038537474458409434,0.35373841384811633,0.2675304753496804,0.016607218082964496,0.035587067163405456,0.05069587367641924,0.25105456535152015,0.07300334932762702,0.03854544375886402
6,LOoP,0.0060229087315647085,0.27112651938421445,0.22549826385264443,0.016013655674612402,0.03570210256779791,0.055337307387277074,0.29476705940377845,0.1124726226256283,0.06048095003372598
7,LDCOF,0.0007437314067148321,0.24773454144773344,0.3006696428571428,0.008258389723448698,0.03278423349003564,0.009454556635100234,0.2765453296703297,0.028056034718335177,0.0326944709497211
8,HBOS,0.0033792676298032495,0.3353399701927979,0.21597021606787636,0.015688501836507274,0.03230132030465672,0.04714236557005454,0.2137199418944996,0.16015994632114036,0.044839494130964386
9,OCSVM,0.0037423500102354377,0.3215315332401727,0.2979680896498301,0.016240661331380683,0.03291159242373378,0.03431090390510866,0.23566972124686297,0.06856317209306631,0.0372668733102918
10,Nu-OCSVM,0.0037534530368248603,0.31489411528612526,0.2976827019143189,0.016241034901180493,0.03293932368315251,0.037779331245456266,0.23371937393693903,0.06895181605471908,0.0372668733102918
11,RED1,0.0035635468086925547,0.3466727787107799,0.25947805126686985,0.01610603305586624,0.03157305735696784,0.027701486903348196,0.24019666227090342,0.09477326804382888,0.03498587487565346
12,RED2,0.0031629894844063845,0.34863358338684586,0.26020024446970696,0.01602090039671998,0.03158763077851526,0.033184785844314016,0.2323656001031159,0.1276631047884648,0.06165607700888328
