,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7074453531146445,0.8900249297863612,0.9581181870338497,0.4833230099292377,0.5262717414690149,0.9872499463030922,0.7671836734693877,0.9403452573577643,0.5401028718388341
1,KNN,0.9738242179187061,0.9723878948531035,0.9655765920826161,0.4806905418848659,0.5785347937154958,0.9742011263228995,0.8810884353741496,0.9250502908120873,0.5883522135815321
2,KthNN,0.9730337761833825,0.9766164915270282,0.9667240390131956,0.47690372956435234,0.5663005584286775,0.9733530846230145,0.8541768707482994,0.9231589189661958,0.570246157614353
3,LOF,0.9811206031678473,0.828994288238821,0.9644291451520367,0.5023274583779116,0.6620336877272013,0.5244340931923531,0.9037278911564626,0.9382133642366729,0.6402388096258649
4,CBLOF,0.691758124828991,0.4661554482628041,0.2954675846242111,0.5896071475495993,0.512038684258922,0.4230969828580106,0.632829931972789,0.2186283727642454,0.5699087624762722
5,uCBLOF,0.9468275924968839,0.9649720723279371,0.9713138267355136,0.46671171424817465,0.5453329101764761,0.9830299935767541,0.838108843537415,0.9365078497397997,0.5441038515706326
6,LOoP,0.9818806432979661,0.8449304174950298,0.9592656339644292,0.518718208607842,0.6796126915141874,0.4846637554407135,0.9171972789115647,0.9167249748545939,0.6877300838895352
7,LDCOF,0.9404128537986806,0.5207485247246679,0.8746414228341939,0.4980291683090264,0.5465193005056457,0.893276178930582,0.8283945578231292,0.8843365985918572,0.46421407139795484
8,HBOS,0.7808044264737177,0.8509893022815489,0.9414802065404475,0.47457627118644063,0.529715972698348,0.9755979593391471,0.7877006802721089,0.9435485634320199,0.6630537015492008
9,OCSVM,0.7508284437418296,0.9407680898734577,0.9672977624784853,0.5552771364754021,0.5304230474971254,0.9652525589156359,0.7306802721088436,0.91267437792452,0.5154234278366296
10,Nu-OCSVM,0.7506460341106009,0.9408943166398436,0.9678714859437751,0.5328096551983033,0.5278216427324148,0.9714397676115029,0.729278911564626,0.9085035203568461,0.5154234278366296
