,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7523485240020673,0.8375461516614597,0.8548479632816981,0.4932334778609907,0.5046992227394139,0.8125790643973066,0.7737959183673468,0.7975740149560502,0.4915645092156023
1,KNN,0.8034232207460554,0.8453090977941873,0.8875502008032128,0.49982168665653093,0.504309348195602,0.9572885494751716,0.8253061224489796,0.7404884768443608,0.5240707856224359
2,KthNN,0.7873407715927402,0.8434156962984001,0.8892713711990821,0.4991459729339114,0.503617505704583,0.9459337236200405,0.816734693877551,0.7391874754012333,0.5128155042557101
3,LOF,0.7772778402699662,0.7997096784373127,0.8823866896156053,0.4975740000375396,0.524014932794835,0.6886008917126372,0.8165170068027211,0.7476986487077448,0.5793962402792235
4,CBLOF,0.23372754081415498,0.33339644671652624,0.3482501434308663,0.45561874730183755,0.5109559628961069,0.7522215996863031,0.35115646258503397,0.36837473214676175,0.5829171514297962
5,uCBLOF,0.7728696075152768,0.8407018208211051,0.8755020080321285,0.5061189631548323,0.5082253903934466,0.7383665489793512,0.8172380952380952,0.7464632439760355,0.5116404384299797
6,LOoP,0.8103851883379443,0.7931143298936539,0.8869764773379231,0.49145503688270736,0.5327224285186296,0.6617993445282788,0.8223265306122449,0.7457553461319807,0.6138913722368502
7,LDCOF,0.49021068312406896,0.5313200164094797,0.7051061388410786,0.4932663250558402,0.5078261979177826,0.49996866087937575,0.7150748299319728,0.5424656710543578,0.4674680056334578
8,HBOS,0.7501140060195177,0.8359683170816372,0.8479632816982214,0.4930927041687782,0.5048121398926217,0.6563216484275531,0.7931292517006803,0.7713735951370971,0.5233929336844039
9,OCSVM,0.7418903718116316,0.8000568020448736,0.874354561101549,0.5007789477635752,0.5159681453945536,0.5228855329701563,0.7871836734693879,0.7354921939913412,0.5096821994978875
10,Nu-OCSVM,0.7418903718116318,0.7850358168449619,0.878944348823867,0.5009291063686018,0.515455770734686,0.5406255645182043,0.7814421768707484,0.7368970568942145,0.5096821994978875
11,RED1,0.7689782020490682,0.8434472529899966,0.8732071141709696,0.4992492069748672,0.49341713222848327,0.5667413454980079,0.7980136054421768,0.7434184632877071,0.47808095033984443
12,RED2,0.7353844282978141,0.8419009751017703,0.8812392426850257,0.4962272650487076,0.49354981511437734,0.5948837484238079,0.8017142857142858,0.7953382603752133,0.5643671544914579
