,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9584410056851002,0.334216920698034,0.3080895008605852,0.5227959532255946,0.6481602078334011,0.6444294967879949,0.6326122448979592,0.32221651287882097,0.5835276468066866
1,KNN,0.9638220898063419,0.3332544416043422,0.22375215146299482,0.5522645794620568,0.6490849846717233,0.6891470586961347,0.6399183673469387,0.3199124283902567,0.6575727144694141
2,KthNN,0.9612683549691423,0.3334280034081227,0.21973608720596674,0.5515231713497382,0.6469605520054421,0.6688779091557878,0.635469387755102,0.3188710805964927,0.6345386075561814
3,LOF,0.8708235794849968,0.3280791441825238,0.19277108433734938,0.5640707997822699,0.5815770008222099,0.732583283713059,0.6220816326530612,0.3375770761359165,0.7418198518155656
4,CBLOF,0.48134861520688293,0.31960617248887624,0.3499713138267355,0.5273851755917188,0.4237495502842471,0.5152073465013693,0.4350340136054422,0.6088140114575591,0.6485101953340273
5,uCBLOF,0.9505973915422734,0.345987566663511,0.34480780263912786,0.5490830940180566,0.65041393377863,0.6237383392355343,0.615156462585034,0.32921896182271393,0.5456212111934358
6,LOoP,0.9156051439516006,0.31648206002082735,0.2248995983935743,0.5567317979615969,0.5809523785611239,0.7470955896684855,0.610013605442177,0.3428002142825906,0.7215700202069683
7,LDCOF,0.8220898063417749,0.5175612988734261,0.6351118760757315,0.4638680856654841,0.6241106117741164,0.651423369352939,0.5463197278911565,0.3228615472077666,0.5357859286020452
8,HBOS,0.9407776730611376,0.354555208431948,0.4825014343086632,0.5549486645269065,0.6411930590669838,0.6273598676317077,0.7120952380952381,0.3578136616084313,0.7262323189027005
9,OCSVM,0.9512662268567781,0.40162201394805763,0.7171543316121629,0.45958856542222715,0.6509776128596833,0.598780322191639,0.5990340136054422,0.3288417807320594,0.49971587777845816
10,Nu-OCSVM,0.9520566685921015,0.4243112752059074,0.7160068846815835,0.4918726655029375,0.6484619386476121,0.5880766111556568,0.5908707482993197,0.35054882581886565,0.49971587777845816
11,RED1,0.9494421305444928,0.3479125248508947,0.24325874928284566,0.5576515194173847,0.648959053101722,0.5878104069830695,0.6706394557823129,0.3318045655311147,0.43654154675157675
12,RED2,0.9654637764873987,0.34658714380384364,0.2426850258175559,0.5569851906075792,0.6392844174272778,0.6752781983929401,0.6808027210884354,0.33797065640442564,0.6309999387667626
