,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9354573921503055,0.7736438511786425,0.8829604130808949,0.534442630027967,0.6096998861538434,0.9846857183041102,0.7133877551020408,0.8611372283202868,0.5508756352948381
1,KNN,0.969993615662907,0.7113193852756476,0.8152610441767068,0.5513636278318975,0.6458884597804583,0.8977340287051059,0.6533605442176871,0.33609021734377054,0.7139440328210152
2,KthNN,0.9685343386130788,0.7262772570923665,0.8164084911072863,0.5512322390524992,0.6422969689604625,0.8864604042950393,0.6473061224489796,0.33452682905497005,0.6987000183699712
3,LOF,0.8678138205697261,0.5983148726687494,0.7900172117039587,0.55703211517165,0.603889304755069,0.7785086502342662,0.6303401360544219,0.3836423667293479,0.7319006796889351
4,CBLOF,0.4086583771623141,0.6299977910315882,0.844520940906483,0.4134241792893744,0.4164911045554532,0.5067098585994165,0.40843537414965986,0.6598974504744829,0.5610446390300655
5,uCBLOF,0.9586842185267382,0.6957303796269999,0.8152610441767068,0.5474782739268351,0.6334159337304224,0.7703506949513695,0.6255918367346939,0.35766060261512217,0.6355838589186209
6,LOoP,0.9173380354482716,0.5989775631922749,0.8410786001147447,0.5575764401148713,0.613347340360951,0.773547412649845,0.6464217687074829,0.39257445226745974,0.7158667564754148
7,LDCOF,0.828778159486821,0.5122755530310202,0.5556511761331039,0.49980291683090267,0.5004734848484849,0.8606686902056584,0.5047959183673469,0.4430893864520925,0.5010348417120813
8,HBOS,0.947800443863436,0.585124175581432,0.8554216867469879,0.5271974773354355,0.594445817955956,0.9968447875271319,0.7352789115646259,0.9022499672016443,0.7827285530586002
9,OCSVM,0.9681999209558265,0.63318501688283,0.8060814687320712,0.5454792874974191,0.6451382686233653,0.7727803940423058,0.4865510204081632,0.530759391262518,0.6703998530402303
10,Nu-OCSVM,0.7068981242209589,0.6330903468080407,0.8069420539300057,0.5005912495072921,0.644104271116777,0.8270127422826142,0.44982993197278914,0.4738378449293742,0.6703998530402303
