,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.013571506984469805,0.24548386559411936,0.22241990072250745,0.016468867795140365,0.042031845653719035,0.2760724031971029,0.12044749690010724,0.5206374997632974,0.07276298213020378
1,KNN,0.019212933541273222,0.12474334967095344,0.19944313734294544,0.018562898500908767,0.05262387781639421,0.1243040732547474,0.12032434568172781,0.05617430882080077,0.07276903744341111
2,KthNN,0.019174301713890146,0.14566037422511624,0.08114272009444985,0.01850195295167858,0.04982567346389524,0.10111816203364696,0.11911255314668504,0.058946185948372885,0.07129030761952863
3,LOF,0.007042699551986044,0.0841445813204084,0.07228478549356429,0.02737025479163256,0.050421482929875694,0.1821008856990465,0.08968332168796517,0.05148786802007602,0.060953649993579245
4,CBLOF,0.0013247184839897666,0.11939997126417953,0.5436429512516469,0.015132994127981964,0.026718293032760854,0.03399016058758739,0.06878982040898232,0.057057057951514834,0.03286165439725527
5,uCBLOF,0.014975923793321019,0.13800232138794663,0.0813433519370636,0.01864614931273687,0.046849562422193416,0.05934002255522397,0.1102561996978069,0.06517222503545936,0.07045602557843751
6,LOoP,0.006431230943809338,0.088390060988994,0.16351532525445567,0.028711144025154157,0.056527777238374724,0.19292369972871148,0.08008125795007426,0.049600391792906866,0.055417333435706886
7,LDCOF,0.009577440741202072,0.11741204137721051,0.2974330357142857,0.017122485087038543,0.04383414388529262,0.05621111188158121,0.07900210749500727,0.029884513232009812,0.01807477793844247
8,HBOS,0.008704360512079443,0.1829021414458231,0.06903769760325466,0.01591018562379993,0.0383550403806872,0.8930262718177461,0.11975930966994597,0.5864491185877917,0.10878747938794359
9,OCSVM,0.001239529937189799,0.11012138460557822,0.1292067832483155,0.3571360638370568,0.07232161298143856,0.11917398228535223,0.057806097567787304,0.012564152074980265,0.04131666368433692
10,Nu-OCSVM,0.002678653381993707,0.09628076531377304,0.12942776972483808,0.5081426909654905,0.06824879322442247,0.131620536475183,0.06030442084306379,0.008174778919169014,0.04131666368433692
