,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.923995986988113,0.8233771971346524,0.9259896729776248,0.5284175160012764,0.6020496548682679,0.9950342016817643,0.6980816326530613,0.8970951589626973,0.5397716000244933
1,KNN,0.978536466725443,0.9675597210388464,0.9546758462421112,0.48929181447904346,0.6916121093387326,0.9492701679343724,0.8738775510204081,0.9276413609131062,0.613397832343396
2,KthNN,0.9786276715410573,0.9744390798068729,0.9604130808950085,0.48005706026991,0.6618684757738236,0.952378550079023,0.8500544217687076,0.9231315870031048,0.5953125956769334
3,LOF,0.978536466725443,0.8406702641295086,0.9506597819850832,0.5006663288098054,0.7798676541219405,0.5280192376338506,0.8608163265306122,0.94670813836533,0.6918755740616006
4,CBLOF,0.6841273219225975,0.464893180598946,0.20654044750430292,0.4222178425962423,0.5530800172655139,0.12375879884029965,0.7592789115646258,0.3532164254165392,0.5768170963198824
5,uCBLOF,0.9522998814337397,0.9654138660102874,0.9569707401032703,0.46757512622707736,0.5751101747798514,0.9873279373992147,0.8403129251700681,0.9242631302750689,0.5491702896332129
6,LOoP,0.9795701213024048,0.8512101991227239,0.9363166953528399,0.5270989357508868,0.7929268472046651,0.5162691821534154,0.8749523809523809,0.9264824856780514,0.6830996264772518
7,LDCOF,0.8739245432158818,0.605036447978794,0.6331038439472174,0.4595322559453423,0.5896539599090124,0.5015633889768337,0.7772925170068027,0.9396018279616916,0.5436507256138632
8,HBOS,0.936521448332472,0.6989491621698382,0.9093516924842225,0.5172213150139836,0.5541760738721173,0.9973625709493485,0.710421768707483,0.8536209384702848,0.701751270589676
9,OCSVM,0.7687653908126348,0.9372337404146549,0.9598393574297189,0.4497437918801734,0.5501186725105165,0.9845411506858808,0.6408979591836734,0.9087877727729916,0.5003220868287307
10,Nu-OCSVM,0.7697990453895966,0.9337940610306417,0.9609868043602984,0.4333108095425794,0.5478614732643428,0.9839259866790901,0.6309795918367348,0.9023046311278261,0.5003220868287307
