,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9489557048612167,0.3384139606803623,0.3407917383820998,0.5385907614918257,0.6466648611081354,0.6524831412092363,0.6124897959183673,0.32865592338304106,0.5792535668360786
1,KNN,0.9363694403064482,0.3338382403988766,0.22776821572002295,0.5478630553522157,0.6580331843356975,0.6851124654027574,0.6049115646258504,0.30270969082083343,0.554321229563407
2,KthNN,0.9317483963153254,0.3348953895673577,0.22203098106712563,0.5468400998554724,0.6565684556649455,0.6658070065610869,0.5963401360544218,0.30317160099707,0.5409815687955423
3,LOF,0.9061198431277171,0.35008993657104986,0.19449225473321863,0.5520299566417028,0.5792988083313693,0.7171447156509863,0.6452380952380953,0.3260539204967857,0.6377257975629171
4,CBLOF,0.5416349983279117,0.3904193884313168,0.7217441193344807,0.4980385532218406,0.5413418502578221,0.47633455606861685,0.444,0.6600559758604102,0.5625950646010655
5,uCBLOF,0.9139026540601345,0.3693395184448862,0.7165806081468732,0.5442029393546934,0.654475240860169,0.5776774246478871,0.575891156462585,0.30617265054445264,0.4784397771110158
6,LOoP,0.936399841911653,0.3510681940105399,0.23752151462994836,0.5471498019783396,0.589728712598826,0.7370724216502875,0.6221972789115645,0.3487175842917742,0.6341534504929274
7,LDCOF,0.49914875505426687,0.5282590173246237,0.5507745266781411,0.497240835632637,0.4113968461423093,0.5030645583336965,0.5220680272108843,0.4817231162811038,0.45633702773865653
8,HBOS,0.9178092603289453,0.5083151882356655,0.48307515777395293,0.5362069936370292,0.5565990290826602,0.51788592407219,0.6147959183673468,0.3295141470240958,0.5316839140285348
9,OCSVM,0.8997659076399233,0.5783079301965982,0.7211703958691911,0.5447003397338439,0.6461790174458466,0.5824092751567147,0.5420544217687076,0.33770826955875277,0.4794060375972078
10,Nu-OCSVM,0.8992794819566473,0.5983464293603459,0.7177280550774527,0.5445501811288174,0.6364700951299467,0.5758386590729174,0.5358367346938775,0.3784547601346919,0.4794060375972078
11,RED1,0.9254856656431459,0.3466502571870365,0.2426850258175559,0.5543761848452428,0.6547161958823445,0.5847852391213123,0.6314965986394558,0.31633467442165564,0.386941399791807
12,RED2,0.9553096403490103,0.34800719492568394,0.24440619621342513,0.5550706683934906,0.6479735004713646,0.6592944315478444,0.6699999999999999,0.3343901692395155,0.5765268507746004
