,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.01692066142614083,0.12154084292986585,0.05254961814735774,0.017678013834556652,0.06752489377674198,0.06308497973856872,0.1069595141544283,0.04488000246697098,0.0418583302615364
1,KNN,0.014279518210301476,0.12453341819638936,0.050250826351078526,0.017991284090391146,0.08782086830013898,0.05200256937760113,0.11931673864729499,0.042191407760036055,0.04431400882944095
2,KthNN,0.013431952984610616,0.12367220814958736,0.05013430256542642,0.017934173949733345,0.08611714140177393,0.04666356981169932,0.11747574321290974,0.042132744432332336,0.04250945232444549
3,LOF,0.012780453146310128,0.1254331253146832,0.015965088078495077,0.02187648877130284,0.05121755353568648,0.075074495543197,0.1290379514058705,0.03684824116537907,0.07387993276645899
4,CBLOF,0.0009328458875124901,0.08979428744221069,0.04595981177375144,0.019257268373292218,0.050110221572887984,0.018127715050192644,0.05781084446786583,0.02114799829382054,0.08472984479088518
5,uCBLOF,0.013130267400551641,0.12483705414266424,0.07274533306585887,0.017852357481847634,0.08288133914051161,0.033998125312793705,0.1150265993277704,0.04234594232483251,0.03567606510875608
6,LOoP,0.015857134625097656,0.12290730041204564,0.019334634461826285,0.02481602100710001,0.05985034977852875,0.08968587532766363,0.11643681616366094,0.047199777542236074,0.07079996872755123
7,LDCOF,0.00663349207017447,0.22503367299358612,0.059029206088029626,0.009718610510685708,0.1805892238139221,0.038121986674484507,0.09613286303173026,0.03669372897571859,0.033527887892812656
8,HBOS,0.00838719973137599,0.13601948069897984,0.05567479395604395,0.017514149219958183,0.10484917248006091,0.08576182555922182,0.11010808823032059,0.03539534599561368,0.04287861728155878
9,OCSVM,0.015661901168423482,0.15510619419337376,0.10065333223238276,0.017820503224461194,0.0994433204209556,0.045729359538789136,0.1662221929520314,0.008759542757107153,0.0471384846572312
10,Nu-OCSVM,0.015738745547391846,0.15737917093968398,0.09735842592231653,0.4491234330747751,0.09906722952005026,0.04452594428345201,0.1652535150097466,0.011498553008691662,0.0471384846572312
11,RED1,0.009697455363959983,0.1178844099068405,0.050616311012759145,0.01837516648376896,0.09186917440548936,0.03993611857824165,0.11059763406993281,0.049480502261168596,0.028270433342650253
12,RED2,0.01728850888387404,0.12933323193423296,0.05062298152291332,0.018537792602115306,0.0715532847517067,0.049830471800653975,0.12790576654127522,0.05142850939044153,0.04316257889596578
