,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6471285683884109,0.9083593676039003,0.9632816982214573,0.47795483979953823,0.5536719430711189,0.9894004724308738,0.7401224489795919,0.95338807014475,0.679126814034658
1,KNN,0.9734289970510442,0.9618164031682919,0.9236947791164659,0.459283555755767,0.6862068719245245,0.960931480197625,0.8692789115646258,0.9694756636200639,0.5665984936623599
2,KthNN,0.957711367160186,0.9618164031682919,0.9254159495123351,0.4447228635245979,0.6552588398717316,0.9586128948506258,0.846938775510204,0.9702901561201732,0.5555801849243769
3,LOF,0.9828838962697232,0.7858247341348733,0.9621342512908777,0.49143157460067194,0.775270663601904,0.5112950522153064,0.8771564625850341,0.9768498272619933,0.5828375482211744
4,CBLOF,0.753503784999848,0.25482028464135814,0.0814687320711417,0.5595941963699157,0.5218521682771624,0.9685477018360393,0.6351700680272109,0.46322211046486206,0.5565782866940174
5,uCBLOF,0.9339677134952724,0.8954842374325476,0.9133677567412507,0.4483829795221202,0.5641424668259307,0.9869188472197487,0.8655918367346939,0.9586412734508243,0.5385646929153145
6,LOoP,0.9809989967470282,0.7844677963962258,0.9764773379231211,0.5139319030726205,0.7917760686719302,0.4947182371005759,0.87821768707483,0.966436349324354,0.6220549874471863
7,LDCOF,0.9212902441248898,0.930622613525198,0.8760757314974181,0.4522683334271825,0.5806938756972269,0.9869756398212702,0.7687482993197279,0.9678029474788997,0.5614267344314494
8,HBOS,0.7786155108989754,0.8277635772665594,0.9667240390131957,0.4462807590517484,0.5422678267101251,0.9973814763375626,0.6956462585034013,0.9260014431276512,0.6890282285224419
9,OCSVM,0.8133949472532149,0.9382435545457414,0.9397590361445783,0.507920866415151,0.5395504918082547,0.9836571326946777,0.8087482993197279,0.9175504001399397,0.4978543873614598
10,Nu-OCSVM,0.8211169549752226,0.9316797626936792,0.9409064830751578,0.5306135855997898,0.5361144067947922,0.9828595393353099,0.8083809523809524,0.9126962434949928,0.4978543873614598
