,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9528471103274252,0.7953864116885986,0.891566265060241,0.5546389624040393,0.5991673172480163,0.9557028154505431,0.6495646258503401,0.8990138627716797,0.5556891800869512
1,KNN,0.9603563068129997,0.5996718104073968,0.8146873207114171,0.5496649586125344,0.6575430164834772,0.9286415867073208,0.6715918367346939,0.3380854506494075,0.7332557712326251
2,KthNN,0.9600826923661568,0.6078292151850799,0.8158347676419966,0.5499746607354018,0.6478741556949414,0.9038376409336816,0.6634965986394558,0.33762354047317095,0.7294764558202192
3,LOF,0.9350925728878485,0.5655905834832275,0.799770510613884,0.5442780186572067,0.650406945329741,0.884829496074584,0.6472244897959184,0.37572156382560024,0.7224591268140347
4,CBLOF,0.3924239199829751,0.37921676291457607,0.8571428571428571,0.4896109015147249,0.42331445308315296,0.5810135886936606,0.4877687074829932,0.67203284208685,0.5357981752495254
5,uCBLOF,0.9525430942753778,0.590551926536022,0.8146873207114171,0.5473468851474369,0.6361207284814918,0.7847923222721526,0.6327755102040816,0.3800290812087287,0.7074692302982059
6,LOoP,0.9433922111087466,0.569377386474802,0.8938611589213998,0.531101601066126,0.6715937184194645,0.8608707893152453,0.6430680272108843,0.3961248742729697,0.6851246096381116
7,LDCOF,0.4941476909980847,0.525008678090189,0.5605278255880665,0.49940875049270794,0.5009175094094374,0.5029705154928638,0.5181836734693878,0.48034831853763066,0.5015773681954565
8,HBOS,0.9494725321496975,0.6159235065795702,0.8387837062535858,0.5172963943164969,0.5689023119183826,0.9978437156272908,0.7248979591836735,0.9290298246381248,0.7540738472843059
9,OCSVM,0.6927917794059526,0.5468774653665309,0.8086632243258749,0.5462160031533307,0.6472036830715832,0.7959147035765071,0.530734693877551,0.504558971443565,0.7219355826342538
10,Nu-OCSVM,0.472288936855866,0.5678942219697687,0.8092369477911646,0.5,0.6507542754242281,0.8510639631451941,0.5359727891156463,0.19445598460663838,0.7219355826342538
