,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.017264879565687237,0.12268235357912932,0.1591349275911355,0.018328905115997142,0.048057746219177015,0.05556326178901213,0.12834601990998679,0.029783356224924864,0.034409850193137824
1,KNN,0.018507552786350037,0.11172512371554294,0.15750118331302232,0.01900596562314541,0.05345658825719651,0.0951680362473555,0.11952706264094495,0.04772426060766623,0.03852380905027461
2,KthNN,0.018669820033086232,0.13248504846373238,0.03813083915615954,0.018672033917581224,0.050020463851934774,0.07629272839048262,0.11877860469350088,0.05017963307900042,0.03791548593771707
3,LOF,0.013175796865321943,0.071121697626513,0.016070169371959767,0.026747947573327494,0.049899936863113156,0.10299264389229605,0.08908813650235221,0.023666763575373586,0.04048288096811436
4,CBLOF,0.0011433883978584655,0.10019914804909066,0.01788989567068691,0.01459902213565938,0.026691022915180832,0.017932441928100264,0.05047318417156665,0.02970912441196012,0.05060479762551026
5,uCBLOF,0.020552365734909143,0.11490202177494796,0.03885344875700972,0.018774788686659386,0.04524698435375596,0.052843565007171724,0.11994895737678779,0.034683688659359176,0.03651265403799587
6,LOoP,0.008426069000780358,0.0702103539876835,0.01697080634708369,0.02450820235121547,0.05577947819048715,0.11921058729027158,0.07828695124749006,0.02001922317508207,0.03718878766394647
7,LDCOF,0.004113862490698708,0.13965103415368685,0.15790106780462876,0.016759493487898874,0.040433464613603004,0.04311345807345307,0.07028617485635096,0.024346596696158938,0.04467044739704856
8,HBOS,0.009868951389797731,0.12202168937703103,0.016103871453840686,0.01875317047682033,0.037485204199737665,0.03844488667364132,0.13807545269171853,0.015288744380038174,0.03607001419513739
9,OCSVM,0.0016414666855388167,0.11781034881765737,0.09128598182396726,0.34543133598236125,0.06732695291535808,0.09516076359712541,0.06003853244542743,0.014002871381287026,0.03674234763250899
10,Nu-OCSVM,0.000987558668574052,0.08269059161419952,0.0896288951380503,0.5081521739130435,0.06611530252054262,0.09958930030945515,0.06185259957750834,0.008822913973797643,0.03674234763250899
11,RED1,0.015266164590396302,0.13609907973043653,0.033027966055320074,0.018067370817153705,0.04983265682614227,0.04534126745189977,0.13024244540501195,0.03917144608493873,0.027986928228104217
12,RED2,0.01649358271659479,0.13511124885251352,0.032888519199311975,0.018074443664875615,0.04092665653139991,0.04026816409521025,0.13112990704568345,0.04012723111994237,0.030327472384112097
