,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6471285683884109,0.9083593676039003,0.9632816982214573,0.47795483979953823,0.5536719430711189,0.9894004724308738,0.7401224489795919,0.95338807014475,0.679126814034658
1,KNN,0.9037181163165415,0.8792640979519707,0.693631669535284,0.42610788895771157,0.6862068719245245,0.960931480197625,0.8369387755102041,0.9694756636200639,0.5421786785867369
2,KthNN,0.8660505274678502,0.8699233172394206,0.6672403901319564,0.41849203220902076,0.6552588398717316,0.9586128948506258,0.8210204081632653,0.9702901561201732,0.536747290429245
3,LOF,0.9133554251664487,0.7581495156047839,0.6913367756741251,0.46237588452803274,0.775270663601904,0.5112950522153064,0.8019727891156463,0.9768498272619933,0.5374098340579266
4,CBLOF,0.34344693399811504,0.49648142888699553,0.7217441193344808,0.5673273645287835,0.5218521682771624,0.9685477018360393,0.5046122448979592,0.46322211046486206,0.533304757822546
5,uCBLOF,0.8219986015261604,0.8781596137460947,0.7705106138841079,0.3986429416070725,0.5641424668259307,0.9869188472197487,0.8081360544217686,0.9586412734508243,0.5158569591574306
6,LOoP,0.9037181163165415,0.7606109375493073,0.846815834767642,0.457932128310528,0.7917760686719302,0.4947182371005759,0.7859727891156463,0.966436349324354,0.5630359439103545
7,LDCOF,0.7836925789681695,0.6480797753163557,0.7641996557659209,0.46907671227734293,0.5714406393060942,0.9871516229970034,0.7100000000000001,0.9718207460532644,0.5038919845692242
8,HBOS,0.7804396072112607,0.8200006311338319,0.9667240390131957,0.44653415169773075,0.5422678267101251,0.9973814763375626,0.6900136054421768,0.9260014431276512,0.6993386810360664
9,OCSVM,0.9232967500684036,0.5098614661238915,0.4750430292598967,0.5732586294273325,0.5395504918082547,0.9836571326946777,0.5359999999999999,0.9175504001399397,0.5158214438797379
10,Nu-OCSVM,0.4527711063144133,0.5403452302060653,0.582903040734366,0.4049777577566305,0.5361144067947922,0.9828595393353099,0.5178707482993198,0.9126962434949928,0.5158214438797379
