,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.011800601878675255,0.28558668930208914,0.17882489297727977,0.018165689229489555,0.04856763001809095,0.521554531885726,0.11624547524083245,0.3875315827837852,0.04587476612840374
1,KNN,0.045888113752478595,0.6393582194856724,0.2591254376379671,0.016645449794804465,0.09774695014417437,0.208292900286836,0.24134097889833364,0.3422579520732793,0.047108050108675505
2,KthNN,0.04445470927401211,0.6949678572847079,0.2993144908558442,0.015364486839357545,0.08312012928714935,0.20958585174526217,0.2174236257764088,0.2361284026174871,0.04454745551279187
3,LOF,0.040724412208937744,0.33884139154046744,0.3463796383051041,0.018154661917749566,0.10409114196681288,0.024763690490039146,0.23596883863769685,0.3021508281491747,0.06528079368852671
4,CBLOF,0.0025785164970216776,0.11954639304968699,0.015744640004386568,0.014822137053841784,0.043438994699924044,0.013277491929456754,0.18357839373307097,0.020823489047154174,0.06849929975889905
5,uCBLOF,0.016837825328567674,0.7360764532845855,0.38102066983093075,0.015073723241686484,0.05140410832308107,0.9007971972761766,0.22788421564880842,0.4485919033705778,0.04247339896727671
6,LOoP,0.03559239409055735,0.33212481158996615,0.33101090863695903,0.019758827206159978,0.1323965018040677,0.036869041398547506,0.25241951163888254,0.1346419101950388,0.07351813302516882
7,LDCOF,0.02031413898238634,0.596536235793601,0.08484800170068027,0.013810213582413432,0.05492829721877479,0.21148343070566358,0.14762442413977922,0.2416088107409227,0.03918910613443312
8,HBOS,0.013056572611235075,0.20923228988011022,0.1472029547034947,0.015223187300553796,0.04672874453657337,0.9110369147190444,0.12324413672817636,0.2917224308255959,0.09082922493292134
9,OCSVM,0.0034975349610899334,0.5363423179056904,0.2753170669525959,0.018765869324808376,0.051559599869826916,0.8988293926647376,0.11695727894423792,0.4849340612584618,0.03543445759365056
10,Nu-OCSVM,0.0038882780502319447,0.5286192696427777,0.28043264894787717,0.014563777450203739,0.05146444659178038,0.8986086831439674,0.12316089314711362,0.45212987529705695,0.03543445759365056
