,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.715440975283495,0.7804916532550727,0.8668961560527826,0.47094430992736075,0.5920038502587148,0.9172090500246255,0.7128027210884353,0.9411925482135829,0.6205578347927255
1,KNN,0.9512054236463686,0.8577108775915934,0.8416523235800345,0.593581658126396,0.6428011834554597,0.9197864251668936,0.8169795918367347,0.9424990160493288,0.594564937848264
2,KthNN,0.9434834159243608,0.8690712865663164,0.8445209409064831,0.5816581263960058,0.6258918432498447,0.9281672194327009,0.8007142857142857,0.9420863034066559,0.579469107831731
3,LOF,0.9412640987444137,0.7604531540913251,0.9110728628800918,0.5866884396643954,0.6759887971677057,0.5938030073835477,0.7610068027210884,0.9718152796606464,0.6621119343579694
4,CBLOF,0.3590429574681543,0.5917826375082836,0.35570854847963285,0.5904517897028737,0.4612581317089109,0.6407821327265264,0.5386530612244897,0.7068646958499147,0.5867687220623354
5,uCBLOF,0.9348493600462106,0.8327179778472025,0.8818129661503155,0.5747696003904124,0.6173908485187725,0.9793538892485669,0.7952517006802722,0.9222733633620501,0.5760467821933746
6,LOoP,0.927340163560636,0.7604531540913251,0.9718875502008032,0.6084098203727688,0.6971049185735507,0.570685539441812,0.7451020408163266,0.9657694494249355,0.6658171575531199
7,LDCOF,0.8910406469461587,0.7327621572154375,0.8333333333333334,0.5509225369296319,0.5695790615916412,0.983444332421951,0.6763945578231293,0.9349717934140902,0.5984569224174883
8,HBOS,0.8216033806584989,0.5884376281990595,0.80837636259323,0.4843647352516095,0.5705293372015583,0.9962122978276383,0.7199183673469388,0.9285487820877246,0.7037242054987447
9,OCSVM,0.8185632201380232,0.8183596831708163,0.844520940906483,0.4572188749366518,0.6254911721802041,0.9778380440108265,0.7460816326530612,0.9024358245506625,0.4651325699589737
10,Nu-OCSVM,0.8025111725899128,0.798415854081858,0.8439472174411934,0.5268408506484975,0.6243689193520165,0.9775621068755735,0.7298095238095238,0.8992707832247342,0.4651325699589737
