,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0024954740401524913,0.4856655703022468,0.4571653860906404,0.016751967805015006,0.034150537715138686,0.5998808753144715,0.16714415705682428,0.6160121037252442,0.11860529587791352
1,KNN,0.04567433582969241,0.7198726146980269,0.2957756020443858,0.01632840893291406,0.08879684659184697,0.27279040157980367,0.38407256846926263,0.6005469315407368,0.048639071824242056
2,KthNN,0.037924462130861446,0.7508596777581846,0.32481796237556604,0.015270949237374567,0.07083543142920698,0.2657992426586987,0.3135475159126937,0.5141099013142785,0.045875048249707895
3,LOF,0.0651361464150543,0.3817751615605562,0.5342590106217926,0.018019974109675263,0.1065143177445842,0.02348863963610279,0.5212092193041565,0.6244965733949879,0.06280106629266122
4,CBLOF,0.007864838068397134,0.12856897696416225,0.013898177642720631,0.014061417760466283,0.035894790077663635,0.6284611651653313,0.11650802263117606,0.04530194096381549,0.06002094480570776
5,uCBLOF,0.01447699499589417,0.7773911962907147,0.3370162853201796,0.015195099523599095,0.040520907389962973,0.929986390998737,0.28898978666188513,0.5740712166626096,0.04114318554228408
6,LOoP,0.052757732450778846,0.3630135046636644,0.52715882206152,0.02020164694996962,0.13455685728127817,0.03610459525972387,0.5329874093056491,0.27054812347417473,0.07024411966840828
7,LDCOF,0.0772667517563623,0.3918396418396418,0.3852821039871399,0.012974850587807066,0.04297354942230957,0.9414024015412371,0.24723292437059846,0.40310628247766117,0.047900297321260346
8,HBOS,0.0038573722709030886,0.38137453700132695,0.2723738052685421,0.01598389110891558,0.034396601404241535,0.9400815991238555,0.15872001966991048,0.5731026895184814,0.0846174797403505
9,OCSVM,0.003621542766778894,0.6221265926250223,0.366261585279273,0.01716606081378635,0.04063751205564939,0.9282211381817919,0.21231626731551764,0.6142705295469755,0.03582548742925265
10,Nu-OCSVM,0.003984680191294382,0.6135480655298867,0.3498125056474203,0.014817000870236135,0.04012457362833243,0.9278314400319128,0.2308831019978039,0.5986143106873737,0.03582548742925265
