,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7425592071261362,0.8311085865757833,0.47332185886402756,0.4351033278900839,0.0,0.0,0.7837142857142857,0.0,0.524517788255465
1,KNN,0.8498768734989207,0.8506737353655842,0.5146299483648881,0.4277127090489329,0.0,0.0,0.8406802721088436,0.0,0.5383699712203784
2,KthNN,0.8355881190526859,0.8481807567294644,0.5169248422260471,0.4207819509356758,0.0,0.0,0.8289523809523809,0.0,0.5344559426856897
3,LOF,0.8729820934545344,0.7975953801003502,0.49512335054503726,0.473008990746476,0.0,0.0,0.8323401360544218,0.0,0.5120653970975446
4,CBLOF,0.5255829507798011,0.33134526176275675,0.4279977051061388,0.44699401242562453,0.0,0.0,0.44409523809523804,0.0,0.4675463841773315
5,uCBLOF,0.7804700088164656,0.7923254126037426,0.5100401606425703,0.426487977926685,0.0,0.0,0.8253469387755101,0.0,0.5105137468617965
6,LOoP,0.8832882376189464,0.7750639023004828,0.5017211703958692,0.47394748202789194,0.0,0.0,0.8224353741496598,0.0,0.5224015675708775
7,LDCOF,0.7111239473444197,0.512890908517151,0.5651176133103843,0.4526437299397489,0.0,0.0,0.7950612244897959,0.0,0.5067221848019104
8,HBOS,0.7350500106405619,0.852251569945407,0.525530694205393,0.42571841507592395,0.0,0.0,0.8021768707482994,0.0,0.5311664931724942
9,OCSVM,0.7410087252606937,0.794092587333144,0.40906483075157773,0.4158736415338702,0.0,0.0,0.7978095238095237,0.0,0.4912803869940604
10,Nu-OCSVM,0.7304593682546437,0.7847833633121903,0.4503729202524383,0.4177693939223304,0.0,0.0,0.7870612244897959,0.0,0.4912803869940604
11,RED1,0.7556318973641808,0.8485278803370255,0.5335628227194492,0.44096889839893383,0.0,0.0,0.7958775510204082,0.0,0.535293613373339
12,RED2,0.7225245492962028,0.8487487771782005,0.5266781411359724,0.4451545695140492,0.0,0.0,0.7959591836734694,0.0,0.5460522931847407
