,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.66521752348524,0.3665940862759948,0.34538152610441764,0.5263809899206037,0.6122906757297224,0.6393826244194937,0.6673333333333333,0.0,0.5404812932459739
1,KNN,0.6876843097315538,0.33730947647448634,0.2633390705679862,0.5445407962160033,0.633860320965369,0.6911751329428428,0.7162721088435374,0.0,0.6441087502296245
2,KthNN,0.6933390082996382,0.3382088421849853,0.27251864601262193,0.5419880999305515,0.622710815697334,0.6890086060282709,0.7052380952380952,0.0,0.6338129936929765
3,LOF,0.59392575928009,0.2843573479756382,0.23924268502581755,0.5386283011430824,0.6187735570708262,0.5668158204976703,0.5829251700680272,0.0,0.578150756230482
4,CBLOF,0.392180707141337,0.5401558900564865,0.372346528973035,0.5024682320701241,0.4521907796888279,0.5104175568378266,0.3954829931972789,0.0,0.5372383809932031
5,uCBLOF,0.5900039522086766,0.35223579159960866,0.30751577739529545,0.5343487808998254,0.6230011641277255,0.6131631440730716,0.6961496598639456,0.0,0.5885897985426489
6,LOoP,0.5685404189341197,0.2935087885386096,0.23752151462994836,0.5528464440565347,0.6414546167618324,0.5478330526825905,0.5830612244897959,0.0,0.5679088849427469
7,LDCOF,0.562429696287964,0.45350121493262646,0.3448078026391279,0.5191452221408863,0.590611196069819,0.6513340401196799,0.6874149659863946,0.0,0.6564643928724512
8,HBOS,0.7219013163895054,0.36280728328442047,0.1976477337923121,0.532443643598551,0.5763107651907955,0.5841386595570176,0.7154829931972788,0.0,0.6441816177821321
9,OCSVM,0.47359620587967044,0.390293161664931,0.4538152610441767,0.5455731366255608,0.6318164577218093,0.4921667231025628,0.6522585034013606,0.0,0.3789480129814463
10,Nu-OCSVM,0.4387255647098167,0.40143267379847897,0.4107860011474469,0.5450569664207819,0.6301968393575158,0.46965519578414944,0.6308843537414967,0.0,0.3789480129814463
11,RED1,0.692001337670629,0.37448325917510805,0.2897303499713138,0.5255457326801434,0.6111846874352767,0.5918579945459739,0.7368843537414965,0.0,0.4613961178127488
12,RED2,0.6956799319004043,0.3726529710625139,0.27882960413080893,0.5256208119826566,0.5926108688820804,0.5934590923833962,0.735156462585034,0.0,0.5075880227787644
