,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0024954740401524913,0.4856655703022468,0.4571653860906404,0.016751967805015006,0.034150537715138686,0.5998808753144715,0.16714415705682428,0.6160121037252442,0.11860529587791352
1,KNN,0.007199364428110205,0.39575492303617327,0.06264965272485823,0.013669323565576458,0.08879684659184697,0.27279040157980367,0.2860760336071338,0.6005469315407368,0.04051014024098802
2,KthNN,0.0056514390338064865,0.3887162546638628,0.060161588488614096,0.013504767641643248,0.07083543142920698,0.2657992426586987,0.2570466875931846,0.5141099013142785,0.03995329814986187
3,LOF,0.012180859903496093,0.2945222496891066,0.07931445267634621,0.01595085475820297,0.1065143177445842,0.02348863963610279,0.28293742843371394,0.6244965733949879,0.03810516200223166
4,CBLOF,0.0011862753741216539,0.1088357558507149,0.19777040413638647,0.01832680167844977,0.035894790077663635,0.6284611651653313,0.06757326716463084,0.04530194096381549,0.0373268153038311
5,uCBLOF,0.004226156848142264,0.32404267379784213,0.07061831469106114,0.013395997100668234,0.040520907389962973,0.929986390998737,0.223565261428452,0.5740712166626096,0.03765257378279161
6,LOoP,0.014562939366603415,0.29383971522067154,0.10396099138041909,0.015940402332952845,0.13455685728127817,0.03610459525972387,0.28504990357080484,0.27054812347417473,0.042724200268865316
7,LDCOF,0.007635509953174574,0.22147951838764557,0.13671875,0.014068338005899786,0.04317528526609525,0.9349071888735211,0.14529532967032968,0.3983924025919379,0.01807477793844247
8,HBOS,0.003780974578274677,0.3675365866703399,0.41228990221775863,0.01610335115730617,0.034396601404241535,0.9400815991238555,0.13157156589694488,0.5731026895184814,0.1040248120530716
9,OCSVM,0.00857202386411881,0.12141532769060415,0.024368080579050898,0.015576158931417788,0.04063751205564939,0.9282211381817919,0.08017593155683359,0.6142705295469755,0.03747745462025424
10,Nu-OCSVM,0.008852724586905133,0.10376053146882531,0.02483155884023347,0.01809194663805791,0.04012457362833243,0.9278314400319128,0.08796470279106627,0.5986143106873737,0.03747745462025424
