,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7425592071261362,0.8311085865757833,0.47332185886402756,0.4351033278900839,0.0,0.0,0.7837142857142857,0.0,0.524517788255465
1,KNN,0.8451038214817742,0.8505475085991985,0.4882386689615605,0.4275625504439064,0.0,0.0,0.8368163265306122,0.0,0.54145735105015
2,KthNN,0.8268628583589214,0.8461137934298968,0.4876649454962708,0.4254087129530567,0.0,0.0,0.8262993197278913,0.0,0.5411309778948014
3,LOF,0.893503176967744,0.8103442835053173,0.46758462421113023,0.4602548942320326,0.0,0.0,0.8372380952380952,0.0,0.505244014451044
4,CBLOF,0.4552640379412033,0.27107198081353145,0.45553643144004596,0.4947726035625129,0.0,0.0,0.3790340136054422,0.0,0.4793313330475782
5,uCBLOF,0.8220290031313654,0.8288680614724352,0.4721744119334481,0.42434821780505655,0.0,0.0,0.8045034013605441,0.0,0.5162182352580981
6,LOoP,0.9073359073359073,0.7831739720407712,0.4764773379231211,0.4652242055671303,0.0,0.0,0.8339795918367348,0.0,0.4872904292449942
7,LDCOF,0.8476879579241784,0.8324339676228344,0.4698795180722891,0.4061977964224712,0.0,0.0,0.7525442176870748,0.0,0.518204641479395
8,HBOS,0.7227677621378409,0.850168828300041,0.5364314400458978,0.42587795859376465,0.0,0.0,0.7974557823129251,0.0,0.5276823219643623
9,OCSVM,0.8382634603107043,0.4797879390324718,0.5054503729202524,0.4764157140980161,0.0,0.0,0.47375510204081633,0.0,0.5201518584287551
10,Nu-OCSVM,0.8513969537591584,0.6310707185458676,0.5788869764773379,0.49644311804343333,0.0,0.0,0.5108027210884354,0.0,0.5201518584287551
11,RED1,0.7556318973641808,0.8485278803370255,0.5335628227194492,0.44096889839893383,0.0,0.0,0.7958775510204082,0.0,0.535293613373339
12,RED2,0.7225245492962028,0.8487487771782005,0.5266781411359724,0.4451545695140492,0.0,0.0,0.7959591836734694,0.0,0.5460522931847407
