,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0088742904285027,0.6593658215128507,0.45952894735503425,0.017332518425582297,0.03617168771348328,0.8665969781949464,0.13349836909520935,0.666985489903255,0.0996160673938181
1,KNN,0.0391403014122109,0.7571130552095995,0.40074148575846363,0.017679488951829716,0.06689386272908236,0.2994281084725692,0.27842852910754035,0.5285978155201128,0.0559170831830412
2,KthNN,0.03145242084650181,0.7704597846170879,0.41097341648590313,0.016974526013107172,0.05633926222910732,0.28360035720195287,0.22316569645752127,0.39840207673471345,0.0513080788870319
3,LOF,0.012535241174138198,0.2970082904740108,0.4255683795596444,0.04365760318229576,0.07750599001528699,0.021502899232656955,0.45595532013708007,0.08818651806657307,0.07461524823630496
4,CBLOF,0.0024702249360600147,0.07155563724691055,0.01765991062276244,0.04111539994446681,0.031343207932866365,0.018848988595068967,0.118591758706695,0.010542635185705036,0.053919737474345225
5,uCBLOF,0.013463502194882557,0.8323882820733735,0.3762028731092083,0.017306533603673714,0.0403844590956158,0.8971718287221087,0.2131120596956987,0.6549740102456002,0.04695257902176539
6,LOoP,0.013089536809760643,0.2664561406150707,0.27093528040122467,0.026910164098171027,0.09255752997131445,0.02968276218070035,0.45963543038869126,0.07384286909131381,0.0885402121797234
7,LDCOF,0.0057693070597915124,0.46394746407511384,0.3775510204081633,0.01569158896877933,0.04188639818520476,0.7464119741158507,0.21919819313715472,0.5692438999626056,0.04024156085748015
8,HBOS,0.007369808554035793,0.5732262548673094,0.4383256031941312,0.015868438653323595,0.035523439125985365,0.9153906284081585,0.11826570270087856,0.6288526329668623,0.17037001646815086
9,OCSVM,0.013073366114646667,0.727290360157679,0.4615407983352079,0.013242973936380442,0.04326337849288315,0.7978229421109807,0.20663409219261236,0.42833555059227524,0.043299280694891064
10,Nu-OCSVM,0.01448550382575669,0.7276766551724415,0.4619450767882191,0.013513155549521623,0.04267111631812668,0.8043018559514499,0.2359296130812221,0.41164821234476107,0.043299280694891064
