,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.013139091712054341,0.6441861874348491,0.43260477053493773,0.017470261531864133,0.037753931310994124,0.5105013410430871,0.17963858585460896,0.6645508501594777,0.108674574168617
1,KNN,0.02763641645932975,0.6797190984336907,0.2182209675640314,0.017983274938253316,0.05645325853199714,0.4104134906448269,0.23122924377185497,0.5142557543935501,0.06376841565272423
2,KthNN,0.022406401046896358,0.6718264993936747,0.20565884177016744,0.01723149434433916,0.05011240506865739,0.41029059729459283,0.2080579497425824,0.4136250605654134,0.062185542260108875
3,LOF,0.011390525252556592,0.23082969767431427,0.1581183824983953,0.01682781341693833,0.058402567489975556,0.01751374102146565,0.2633619504801335,0.05309576285087538,0.07960071129803695
4,CBLOF,0.0011176200168829516,0.09138745254267507,0.015280039914601858,0.024852811499801758,0.03142794510296058,0.019025905014712713,0.054965861173178227,0.009585518785445415,0.03760469415028363
5,uCBLOF,0.01897100376333208,0.6158926282717495,0.20917550391721362,0.016616789039006572,0.03947643807138632,0.7677045406825523,0.19837643830823476,0.6552023427833187,0.048639384551988823
6,LOoP,0.009354260713171284,0.22151331734980625,0.12611363835648884,0.01868134591419958,0.06730193980640783,0.024896035532259518,0.23706850266413443,0.03789390528257662,0.0921791508309801
7,LDCOF,0.0048380752203581266,0.5409474125548104,0.013671875,0.009202962440253518,0.036877293658657335,0.2552491413478455,0.15843052804309746,0.5500260138820046,0.0622225398321488
8,HBOS,0.008735026124984089,0.6074970029707408,0.20964639200576946,0.015514153409012073,0.03628544575449791,0.850497032164415,0.12114118539681223,0.6281157666272238,0.14423884928754943
9,OCSVM,0.01357817173254969,0.6318967105482012,0.3531652456049399,0.015813002465368084,0.04202444652091329,0.7219960513638352,0.18463549117048497,0.4828868772938797,0.054528519411502684
10,Nu-OCSVM,0.01386202733855308,0.6398745654457556,0.41843458948148243,0.015380161514047069,0.04143592387280689,0.7409873409000725,0.1953588434400063,0.47202745388774103,0.054528519411502684
11,RED1,0.013310369144591465,0.6251834050658092,0.3097159293208528,0.017109214688974746,0.03989770283034603,0.6722889320945998,0.15833225138447074,0.6512496300401678,0.05705695241906103
12,RED2,0.012113548297502358,0.6070920555769901,0.3461092434612171,0.017079552393612703,0.03998163834732674,0.5794124563097681,0.1568197846927645,0.6786192639240641,0.06969112661188293
