,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0088742904285027,0.6593658215128507,0.45952894735503425,0.017332518425582297,0.03617168771348328,0.8741392654348941,0.13349836909520935,0.666985489903255,0.0996160673938181
1,KNN,0.02639803523536988,0.6915793062757697,0.3364545499832863,0.01806668677527301,0.05111390163567371,0.5178446563631601,0.24777683168481834,0.48894184941147456,0.07248215592520783
2,KthNN,0.02212779582787398,0.6835805096700569,0.3370674198741196,0.0172738561543505,0.047360740361048315,0.5287860682201412,0.21500873723291491,0.36022485150850136,0.0700733128810162
3,LOF,0.00850167649608502,0.26115332432436766,0.26952699030430716,0.017208819292964958,0.062551526160725,0.02124882837803116,0.28270555392084706,0.04957569983992759,0.07569372234836977
4,CBLOF,0.0011422538956294339,0.09507038842558954,0.015153506273784053,0.04275005250080415,0.029951423381397117,0.009731002553548411,0.047888031897259146,0.009973997430208973,0.0727629666917673
5,uCBLOF,0.01484165219137598,0.605301391659342,0.32675890572046684,0.019369125303165605,0.04087005791105456,0.3144021871904875,0.2138694775354569,0.6799278600119019,0.06342824141371467
6,LOoP,0.007478568512507449,0.23655600531803167,0.2842116421467372,0.01801767756871195,0.07449749242993207,0.022383884493532125,0.28028856670945373,0.03848676521670616,0.08536444928656409
7,LDCOF,0.011483029502670711,0.5697599416680688,0.15457589285714285,0.0081426909654905,0.0376324095678572,0.3539106035140939,0.1636847664754093,0.572691123543703,0.03850212514964989
8,HBOS,0.00691555839252751,0.5490548125912186,0.4381240657182413,0.015925322567069924,0.03536913843594369,0.9306784740405186,0.1162431359570491,0.6194628356977082,0.1613007762158284
9,OCSVM,0.025556250138557488,0.11881274564231009,0.03617657245817138,0.34543133598236125,0.05585528346929938,0.6231183534188877,0.06360013455184765,0.012935158173492776,0.07404988722143278
10,Nu-OCSVM,0.0019126416561501653,0.1411910129067262,0.02633562266095671,0.5081521739130435,0.054935085238462654,0.6220652142091536,0.06462992133683848,0.012760773196770846,0.07404988722143278
