,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8926215304168059,0.9343620814793778,0.9604130808950087,0.46530397732605067,0.5604976489797813,0.9966432234757021,0.7553197278911564,0.9480911356977304,0.6293325577123262
1,KNN,0.9549448210865534,0.9746599766480482,0.9420539300057372,0.4646470334290595,0.6652659918028981,0.9218882864813481,0.8675918367346939,0.9516442908995495,0.7662127242667319
2,KthNN,0.9608427324962758,0.9748019817602323,0.9420539300057371,0.45501811288173133,0.6337860425415479,0.9368293014153308,0.8304489795918367,0.9104878208772467,0.74699222337885
3,LOF,0.8998571124555377,0.7909369181734986,0.9403327596098681,0.4775982131126002,0.7188305136267221,0.5158347913668111,0.9055646258503401,0.9284449206279792,0.7692841834547793
4,CBLOF,0.5661386921229441,0.23351951781375238,0.23580034423407917,0.5383467537586576,0.4817293490079918,0.2825068340940077,0.7037959183673469,0.2384003148642148,0.5740934419202743
5,uCBLOF,0.9044477548414556,0.9641515983464293,0.9409064830751578,0.45880961765865197,0.5658435473489312,0.9985240548133959,0.8380816326530612,0.9570177548432239,0.6914861306717286
6,LOoP,0.9146930957954579,0.8083562119347408,0.9288582903040734,0.5044109090226552,0.7409334570219042,0.5181637211715124,0.8936190476190475,0.755635850789347,0.7481697385340763
7,LDCOF,0.8364393639984192,0.956325538830509,0.9351692484222605,0.4689265536723164,0.539206091003721,0.9881968208882629,0.7054285714285714,0.9605490444745703,0.6447039372971649
8,HBOS,0.8269844647797405,0.8581211145823471,0.9695926563396443,0.4521275597349701,0.5402597844979967,0.9976776947248616,0.6756326530612246,0.9305494817859798,0.846453983222093
9,OCSVM,0.9063022527589456,0.9644987219539903,0.9512335054503729,0.5223220151284794,0.5679790555210364,0.9981012569535265,0.8080544217687075,0.950523680412822,0.5932496479088849
10,Nu-OCSVM,0.9089471924117594,0.9642462684212187,0.9483648881239242,0.47090677027610417,0.5659486391132632,0.9981637823210161,0.8078503401360544,0.9479763414527484,0.5932496479088849
