,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.010576185785540676,0.6364009775940576,0.34043876426005326,0.015061046551249955,0.034144561503875945,0.7466245310232383,0.16206155100985561,0.6528709105574514,0.10176305912658676
1,KNN,0.016149444707011934,0.675034708476913,0.3599283158425802,0.018887173469067556,0.05094352411874225,0.1786364726096362,0.25562445669636064,0.2321062262814281,0.10936769994391726
2,KthNN,0.016269569854774003,0.7003690592575799,0.3654465978857519,0.016716177828259828,0.04495525219219515,0.204839691101116,0.21582375649359722,0.19206616761766102,0.10727548367711498
3,LOF,0.005190611056612727,0.29423956440454113,0.2614742882232547,0.021516758507493662,0.06188705965886415,0.028982787886459367,0.26895092816175326,0.08258625831546695,0.08376045400033655
4,CBLOF,0.00203690035120621,0.09234420031789564,0.016003499371218005,0.017097129424866964,0.027561901670695364,0.016159556166886798,0.061109833256781154,0.008296004656811955,0.11820582336745511
5,uCBLOF,0.01298488892260602,0.5646715780708126,0.32329646047530225,0.015859691660641932,0.03626848247632787,0.4521433738313988,0.17407844917339724,0.6631251299841728,0.08387668914658172
6,LOoP,0.005100025356026836,0.26387591005941907,0.12961638897769984,0.017970939871186104,0.07204387674251028,0.027648473990888683,0.27525325530426437,0.06963170628190538,0.076918709364647
7,LDCOF,0.010577695985165985,0.47892597852544766,0.13565434883085395,0.015414149520330094,0.03615474452911862,0.33380535615703527,0.15603102577807332,0.6025316202771528,0.05013702792651743
8,HBOS,0.005798366038223082,0.6221757779906115,0.16845427792022222,0.015318053637417853,0.030660068147699976,0.6238925879617646,0.1131615500190062,0.06344242275501662,0.15921208746331514
9,OCSVM,0.0014421244560006434,0.11533892027947884,0.02975281833734802,0.34543133598236125,0.058727633081181466,0.2684906044792579,0.09145745378282379,0.013111727682333704,0.1120566399834159
10,Nu-OCSVM,0.002098136397249939,0.11086242865823678,0.01975939775238347,0.5081521739130435,0.0593216686025877,0.2551215448196095,0.07727382043710854,0.009631941712349275,0.1120566399834159
11,RED1,0.011822998758409083,0.6137004623974439,0.2091995297001415,0.01666298906484421,0.03454546258496074,0.7195638449202657,0.1440447161763733,0.6302261263003442,0.1049728632177824
12,RED2,0.010959333728201546,0.5987072156078648,0.2383781551680519,0.016675596820338957,0.03484504568506131,0.3895270950611378,0.14008625566322602,0.6387860658549873,0.08495485651085884
