,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.011061453955446995,0.6416921696317615,0.4846855165750229,0.014176427321423261,0.0365677940675402,0.8768166674127399,0.14278036008016645,0.6519850197335839,0.04776622321300092
1,KNN,0.030782643730388654,0.6155095136250952,0.4728079305180971,0.014180540426933173,0.06038015395357804,0.2787798160022649,0.27151968335523835,0.6012429568562548,0.0576142747430101
2,KthNN,0.025338917162335346,0.5990757644777344,0.47257375742292995,0.01404478956959797,0.055757185238725304,0.2706256871021351,0.26236393939079244,0.5966622763686205,0.05481765923749539
3,LOF,0.04751722966835669,0.48263897997650096,0.37869122667714494,0.015428879036032687,0.07843961996922441,0.024552991415692907,0.27426015788901675,0.2872722334326953,0.07593573715225374
4,CBLOF,0.000890746914464798,0.07505740853106267,0.015779093068079418,0.020804153661974047,0.034254806513716644,0.009666445349176446,0.05627764486484283,0.00834855547673413,0.06305331989365158
5,uCBLOF,0.020307164917959683,0.5997326610524286,0.45551644595011936,0.01396200799218361,0.049174135492654175,0.5923410264934158,0.23961222131566648,0.5991231966082475,0.04664473934660453
6,LOoP,0.03654026619178753,0.48159603399289513,0.33328463503459504,0.01520958821519133,0.08751923999550262,0.03026760112632046,0.2783727274974122,0.1850181387421651,0.08407966974005378
7,LDCOF,0.004554410109646198,0.44299118145239624,0.2411458333333333,0.0081426909654905,0.33887919987510445,0.3934713815167984,0.18035714285714285,0.45106814412727425,0.06062206745949774
8,HBOS,0.008263440792201395,0.5694487228661936,0.40990024468285335,0.016278331482989475,0.036112950307862685,0.9219211003066703,0.1294489537163237,0.637509281729683,0.12234751517909238
9,OCSVM,0.18097415907395872,0.6450849667634709,0.020862077786040368,0.35734929392762926,0.06942430839169203,0.4206752868155736,0.0608230847752118,0.4756153866537723,0.06078722909273567
10,Nu-OCSVM,0.18106397009076888,0.17210167388259245,0.022524777320213244,0.5081616789739604,0.06897287441220515,0.4200300585131995,0.06161263300013057,0.023446947090513114,0.06078722909273567
