,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0163153937999978,0.6203850518123174,0.4495999728471735,0.015110003113357359,0.03686413782966829,0.7336216818075693,0.20260051544084473,0.6576323491517264,0.08795295759167951
1,KNN,0.02136035772545878,0.6231475351986763,0.38844621843503263,0.015669184638056367,0.07820853990405131,0.2919430751208926,0.2847721695431639,0.6060853551495916,0.06809870409702042
2,KthNN,0.018875648715445312,0.6129154475813873,0.44942892767164677,0.014997539100894542,0.06565928492564542,0.3126747541149032,0.2523477580132718,0.5764321356145243,0.06364852296577085
3,LOF,0.030498759054898673,0.49898969212527133,0.3616404799233378,0.014977933248480518,0.07319116888632884,0.023808134593225592,0.4132448147111315,0.30954537398372667,0.09264326820888676
4,CBLOF,0.0010680666089075295,0.08064211292281234,0.014493708811288796,0.019772022671522404,0.03415133885114463,0.010610022567551869,0.07074215205224613,0.008392979105514242,0.07631856302687291
5,uCBLOF,0.0102050212784423,0.5996506317959949,0.40988270801583176,0.01428368086943994,0.04927802514974698,0.12139929181915513,0.25315122250921585,0.63569185095573,0.05048771404036259
6,LOoP,0.03381014254112223,0.5209888590435848,0.42116599264658894,0.015401750826759514,0.08571827475207236,0.031287378767518574,0.42872822339925715,0.2007468764707565,0.08445214752071949
7,LDCOF,0.00803242803783059,0.5526638711021608,0.3311941964285714,0.008149010477299184,0.05018688180354414,0.6481875867414276,0.16308415234179732,0.49917403768618757,0.05423089871477074
8,HBOS,0.013168672499040142,0.6213051470566815,0.46139967942872173,0.015948318451861287,0.039927444535302115,0.8071292163295392,0.1393836026670852,0.6667884068807227,0.1552683917556209
9,OCSVM,0.01067597070303465,0.565212419504149,0.40518867347747134,0.02274363628317654,0.051791082748172956,0.8578191412031598,0.2129271850191314,0.6167446168068933,0.030043766639863835
10,Nu-OCSVM,0.010510205004620502,0.5630584135265145,0.40735780424772117,0.01565902179450284,0.05114821266032754,0.8576551778852965,0.2199166951787805,0.6179714552694693,0.030043766639863835
11,RED1,0.013089743347223747,0.6087367906754501,0.4041667488463074,0.016235257795875757,0.04795186507144536,0.8098529747317712,0.1716153882055583,0.6366749351661248,0.04853674409228835
12,RED2,0.013929792539128374,0.5878423638124534,0.38804830544658053,0.016014402111363214,0.039530352145413984,0.5417190955738764,0.16740113123207295,0.6578136353914085,0.06593635044816253
