,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9151795214787339,0.9314273091609075,0.876649454962708,0.436163823038084,0.569602189033274,0.9917446386535693,0.7943945578231293,0.9515185638693313,0.5715277692731615
1,KNN,0.9330860669443346,0.9369812868818833,0.8623063683304647,0.45184601235054533,0.6534686810361451,0.9715057071596132,0.8462993197278912,0.9462325622075479,0.7499920396791379
2,KthNN,0.9230535372267656,0.9343620814793777,0.8663224325874929,0.44615875518516435,0.6267231338916504,0.9740058555745543,0.8301360544217687,0.9457460532645297,0.7383173106362133
3,LOF,0.9166387985285623,0.8928334753384456,0.8525530694205393,0.45193047656587276,0.7134109366407416,0.49488848751034126,0.8844489795918367,0.9454563344557659,0.7751025656726471
4,CBLOF,0.3545435198978506,0.3693395184448862,0.1038439472174412,0.5373331831747283,0.49456915222219844,0.0912383717212082,0.48642176870748305,0.17957099750732497,0.6725038270773376
5,uCBLOF,0.9023196424771228,0.9264729085802645,0.8370625358577166,0.4414099893011994,0.5715869364157722,0.8641394595963571,0.8185170068027211,0.955678488651769,0.6625350560284122
6,LOoP,0.9218374730185753,0.9038152040140112,0.8330464716006885,0.46594684385382057,0.7347636330828315,0.4870696062252233,0.8919591836734694,0.9072298508768094,0.736313759108444
7,LDCOF,0.8486304076855258,0.8864432452901637,0.635972461273666,0.49546708711076076,0.5720112649890372,0.9749135944773845,0.7337142857142857,0.915117855424848,0.6145906558079726
8,HBOS,0.9200741799166996,0.9212029410836569,0.8967297762478486,0.4539106931696604,0.5680780236744656,0.9840093538357428,0.7534285714285713,0.9381368347400184,0.8342893882799585
9,OCSVM,0.870549965038154,0.9246741771592666,0.8164084911072863,0.44970625222891686,0.5666082315167941,0.9858347174778275,0.7776326530612244,0.9453087418550751,0.4001261404690466
10,Nu-OCSVM,0.8580549052989999,0.9216762914576035,0.8313253012048193,0.4795315051523172,0.5630329633835408,0.9850373279501387,0.7686938775510204,0.9457679188350024,0.4001261404690466
11,RED1,0.9224759067278753,0.9213291678500426,0.9116465863453814,0.4554873585224393,0.5689821838911148,0.9897601079492571,0.7894557823129251,0.9266464774565968,0.6023562549752005
12,RED2,0.9230839388319703,0.9133137681845435,0.9082042455536432,0.45509319218424454,0.5713032695562745,0.9920365510966527,0.7962176870748299,0.9341135697730354,0.706409895291164
