,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.002868669688689646,0.46720634402163297,0.18399110912236039,0.016484481423526764,0.037573282193563234,0.8121690476010521,0.22700721513161223,0.2204280218166822,0.05125336895094897
1,KNN,0.005292763559849843,0.49143537600777737,0.1626268070841051,0.016520332926027254,0.08998743079969004,0.11289737479423201,0.2717797499738533,0.19937276976253707,0.05368690827613627
2,KthNN,0.004454019825919408,0.48553754086082324,0.18564883178075636,0.01631332285858142,0.0702053131528757,0.11407749116410254,0.23163001982727308,0.21900222705948966,0.04863842514880694
3,LOF,0.037444628485864564,0.26976559560186086,0.22782877113557237,0.041695207902627374,0.11561372675459451,0.028126731108749553,0.21809312328919153,0.06849467238797995,0.07642268771746953
4,CBLOF,0.0016715608062962736,0.07356238014618102,0.016246462793351818,0.018685374688572766,0.038829713167096075,0.012430790994732523,0.055396846706713215,0.011202827670929304,0.052770144521035796
5,uCBLOF,0.0038134045114615748,0.6642506789924358,0.13084651648622334,0.01651123480149372,0.04187211786994125,0.8481394296377245,0.19777799225514395,0.148233090361007,0.04885078182325015
6,LOoP,0.02102957839346303,0.2546823881349348,0.09708666155667597,0.041943408030735575,0.14526990846721952,0.03674297311333793,0.21031433199866767,0.05490442201824493,0.08773174956744062
7,LDCOF,0.004260060840598229,0.5171501849832318,0.09477929102675553,0.008293438983590681,0.042918590873524926,0.8558438703766985,0.2394112065392271,0.060807182018019684,0.048075652129679944
8,HBOS,0.002639188615462154,0.44091676671910074,0.1522350078121443,0.0166762016275033,0.038312916465838356,0.4527499587674603,0.14992799136203516,0.08724469388798214,0.052879960705264684
9,OCSVM,0.0031182075450346255,0.4599419532613951,0.15860656348272445,0.018209414592695025,0.041589638428354586,0.5222638104851093,0.23867094816922552,0.19817404894704457,0.042624308969988076
10,Nu-OCSVM,0.0031127466947932043,0.4603846612130372,0.16885042744782225,0.017498302514768773,0.04240838836488602,0.6741074160281612,0.24453644071222455,0.1969855636087101,0.042624308969988076
11,RED1,0.0029776718796180753,0.4576942743896813,0.18233905409414242,0.015984824454163212,0.03915539949910184,0.025002312919674762,0.1978317068522298,0.20272354081027738,0.03817890031437489
12,RED2,0.0028573839880609545,0.47998322016497225,0.17829754550765278,0.01592563885955944,0.038426392993078096,0.02993868986804007,0.20628699279455415,0.21489821926547986,0.036745045674452664
