,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7515276806615389,0.9270409290290005,0.9615605278255881,0.5080428702817351,0.5539897570820747,0.9905267698513583,0.7664081632653061,0.9158503520356845,0.5232520972383811
1,KNN,0.9536375520627489,0.9590078576162075,0.944922547332186,0.49683259192522095,0.7165939031042217,0.8913478293327546,0.859265306122449,0.8694844098482529,0.6198273222705284
2,KthNN,0.9330556653391299,0.9614061661775378,0.9420539300057372,0.49572986466955726,0.6794269326841358,0.8856472687701586,0.8367619047619048,0.8684293960729437,0.5983589492376462
3,LOF,0.9805125710637521,0.7516172804443182,0.9690189328743546,0.5058749554216642,0.8019144109460145,0.5694691738982324,0.8621904761904763,0.901555735339135,0.6816814646990386
4,CBLOF,0.7937555102909434,0.5369371075136482,0.2535857716580608,0.4850873735382998,0.5254840693495169,0.27967143352526636,0.5306666666666666,0.34291227533126345,0.5391966199252954
5,uCBLOF,0.901194783084547,0.9514973650162517,0.9403327596098681,0.49755053775550423,0.561314586100815,0.9856546321895574,0.8375510204081633,0.8794605763764377,0.5830543138815749
6,LOoP,0.9852552214756939,0.7764523967307267,0.9707401032702238,0.5134861197139479,0.8175752040794464,0.5320793863239645,0.8749659863945578,0.8740597804696725,0.7171269365011328
7,LDCOF,0.9242087982245463,0.8668307614629681,0.8508318990246702,0.4895123599301762,0.5602120013623152,0.9876368443085227,0.7854421768707481,0.8752186557047273,0.5197967056518278
8,HBOS,0.7427720183625695,0.8842500552242103,0.9512335054503729,0.4763124800570603,0.5410790371529934,0.9947617806429717,0.7595510204081632,0.9255859972886692,0.6970326373155349
9,OCSVM,0.8046696865594504,0.9436081921171384,0.9523809523809524,0.5749009891698106,0.5559048292106785,0.9800515031694551,0.8128299319727892,0.8822484366117112,0.5329924683117997
10,Nu-OCSVM,0.8215425774480892,0.9447757897062072,0.9518072289156626,0.5410308388235072,0.5547212007834651,0.9863203974106242,0.8176190476190477,0.8878788210084401,0.5329924683117997
