,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7293953120724774,0.909937202183723,0.8909925415949512,0.5035287272181241,0.5571949582512017,0.9874146422996086,0.8111428571428572,0.8467387501639918,0.5322050088788194
1,KNN,0.806828200528988,0.9161854271198208,0.9013195639701664,0.5033504138746551,0.717882623295767,0.8809830394207919,0.833795918367347,0.8477336336205012,0.6350609270712142
2,KthNN,0.7932994862128722,0.912793082773202,0.9007458405048766,0.5013608123580533,0.6801862046400845,0.8803065220786652,0.8213605442176871,0.8467934140901735,0.6136899148858
3,LOF,0.872526069376463,0.7670169459433872,0.8795180722891567,0.5052555511759296,0.7999945124634871,0.5720410201062116,0.8134965986394558,0.8200846197577295,0.719078439777111
4,CBLOF,0.47864287234365976,0.28874372810754523,0.20711417096959261,0.5491769431461981,0.5249938178032981,0.222639992234013,0.4797006802721089,0.40432173000393584,0.5522184801910477
5,uCBLOF,0.7688565956282492,0.9337309476474487,0.8990246701090074,0.5105955665671866,0.5624296691431163,0.9817720463706877,0.8099319727891157,0.8508112126645384,0.5991464086706264
6,LOoP,0.8804912899401088,0.7827637350500174,0.8433734939759037,0.5117311410177,0.814973408742742,0.5329722964721577,0.8058775510204081,0.806418638212271,0.7447859898352825
7,LDCOF,0.7529565561061623,0.8790589794565938,0.8439472174411934,0.4963961934793626,0.5507354972807262,0.9881707813912888,0.7902993197278911,0.7598996370315301,0.5847259812626293
8,HBOS,0.6875627033107349,0.8886364353561174,0.8175559380378657,0.5058468006832216,0.5370318464592305,0.9585990342964635,0.7528571428571428,0.7854495561289194,0.6082836323556426
9,OCSVM,0.7451737451737452,0.8909400738426583,0.9001721170395869,0.5640285676746062,0.5560997525335847,0.945731904779012,0.8092789115646258,0.850379367647702,0.5265078684710061
10,Nu-OCSVM,0.7220989268233362,0.8858910031872258,0.901893287435456,0.5266859995870639,0.5544391520079418,0.9708906450686621,0.8110068027210885,0.8514070494599204,0.5265078684710061
11,RED1,0.7183595293831514,0.9078860172299535,0.900172117039587,0.4940030407117518,0.5150161261596641,0.5964429843301849,0.7955646258503402,0.8490237022783925,0.4903300471495928
12,RED2,0.708995834980087,0.9132822114929471,0.8691910499139415,0.49315839855847743,0.5174808028285447,0.6141136621495017,0.8060136054421769,0.8539543884199938,0.49963872389933256
