,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7293953120724774,0.909937202183723,0.8909925415949512,0.5035287272181241,0.5571949024552025,0.9874146422996086,0.8111428571428572,0.8467387501639918,0.5322050088788194
1,KNN,0.8066457908977595,0.916406323960996,0.8927137119908205,0.5035662668693807,0.707747670628629,0.8881101159878688,0.8352108843537415,0.8515983732015568,0.7233335374441248
2,KthNN,0.7939379199221719,0.9144813657736122,0.8944348823866896,0.5011637291889558,0.6725558088321941,0.8918055333676281,0.8226530612244899,0.8512211921109022,0.7077827444737004
3,LOF,0.8775727358404524,0.7388683770393512,0.8846815834767643,0.5117780655817707,0.8018269507174026,0.5665588142295914,0.7930884353741496,0.8196309091704203,0.7528314248974344
4,CBLOF,0.46821512175842883,0.3458613398971252,0.3333333333333333,0.5459860727893838,0.5326132636463623,0.11112531138473816,0.4865442176870749,0.3921426072506232,0.5521474496356622
5,uCBLOF,0.7679445474721065,0.8892044558048534,0.9208261617900173,0.5059406498113632,0.5649054771138202,0.9911127859280724,0.8144761904761905,0.8532054926313026,0.6778568366909559
6,LOoP,0.8996747028243091,0.7726971504307488,0.8732071141709696,0.5170523865833287,0.8164733446889352,0.5348941489352215,0.8113877551020408,0.7991592688153234,0.7516820770314128
7,LDCOF,0.7528349496853434,0.8954211240493547,0.9013195639701663,0.49278300204591097,0.5563581996014827,0.9687856753211049,0.7749115646258503,0.7754733896007348,0.6119564019349703
8,HBOS,0.6825160368467454,0.8843447252989995,0.8198508318990246,0.5041762862023011,0.5331757012664353,0.9368448945387633,0.7483401360544217,0.7874283902567017,0.57679382768967
9,OCSVM,0.8263156294652356,0.5204014011171069,0.4664371772805508,0.5454792874974191,0.6221647821010006,0.9912944509118536,0.5021700680272109,0.5732113963353304,0.6894403282101524
10,Nu-OCSVM,0.8133037424376007,0.6517087948499479,0.5570854847963282,0.5005912495072921,0.6584769159676545,0.9931307705066773,0.4624489795918368,0.3958105566974242,0.6894403282101524
11,RED1,0.7183595293831514,0.9078860172299535,0.900172117039587,0.4940030407117518,0.5150161261596641,0.5964429843301849,0.7955646258503402,0.8490237022783925,0.4903300471495928
12,RED2,0.708995834980087,0.9132822114929471,0.8691910499139415,0.49315839855847743,0.5174808028285447,0.6141136621495017,0.8060136054421769,0.8539543884199938,0.49963872389933256
