,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9087039795701213,0.93647637981634,0.9627079747561675,0.415629633800702,0.5625480264062377,0.9973789284415767,0.764408163265306,0.9464730834827481,0.6870889718939441
1,KNN,0.9716961055543734,0.9806241913597779,0.9604130808950085,0.45772096777220944,0.6797228746634385,0.9486976047484629,0.8784897959183674,0.9650150872436263,0.7305076235380564
2,KthNN,0.972851366552154,0.9832118400706871,0.9586919104991395,0.4485049833887043,0.6484126428823945,0.9485488585808168,0.8485986394557823,0.9652228101631172,0.708302614659237
3,LOF,0.9574377527133431,0.8534191675344758,0.9604130808950085,0.47770144715355595,0.7510520335633021,0.5020436928491006,0.9135782312925171,0.9705361437879914,0.7870252893270467
4,CBLOF,0.4734745994588514,0.4596547697939348,0.11646586345381527,0.5605608423897741,0.5259481525721509,0.9363003582086966,0.6545034013605443,0.2268388944767569,0.6558324658624701
5,uCBLOF,0.9233575532788131,0.9741866262741015,0.9363166953528399,0.44955609362389026,0.5709441944039737,0.9868912789851834,0.8529795918367348,0.9610082214544977,0.6122013348845754
6,LOoP,0.9659198005654699,0.8678721322856512,0.9558232931726908,0.5048003829044427,0.7731488393985817,0.492619484219224,0.928108843537415,0.9418649145056194,0.7772396056579511
7,LDCOF,0.8764174748426717,0.938559121461706,0.819277108433735,0.4952700039416634,0.57841293525343,0.9827879944160312,0.8206122448979593,0.9381914986662001,0.5416214561263855
8,HBOS,0.9050861885507555,0.8927388052636561,0.952954675846242,0.4500347241774124,0.556434291395275,0.9962375729558167,0.7314013605442177,0.9424935496567106,0.8168734308982916
9,OCSVM,0.8476575563189737,0.9638360314304648,0.9615605278255881,0.5751543818157929,0.5551330310529285,0.9851295108269018,0.7547210884353742,0.944740237022784,0.4653481109546262
10,Nu-OCSVM,0.8277141033046544,0.9665814635993563,0.9615605278255881,0.42869343243801267,0.5519649900192116,0.9844173738988948,0.7542721088435373,0.9444723837844929,0.4653481109546262
