,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8926215304168059,0.9343620814793778,0.9604130808950087,0.4800664451827243,0.5567983463404966,0.9964984265468341,0.7553197278911564,0.9480911356977304,0.7836788929030678
1,KNN,0.9549448210865534,0.9746599766480482,0.9420539300057372,0.47078007395311294,0.6633173723298266,0.910515956580795,0.8675918367346939,0.9516442908995495,0.7734737615577736
2,KthNN,0.9608427324962758,0.9748019817602323,0.9420539300057371,0.45586275503500573,0.6319092883153358,0.9253327361065142,0.8304489795918367,0.9104878208772467,0.7570044700263303
3,LOF,0.8998571124555377,0.7909369181734986,0.9403327596098681,0.49458490530622967,0.7192444920421515,0.4988837158107392,0.9055646258503401,0.9284449206279792,0.7454497581287123
4,CBLOF,0.5661386921229441,0.23351951781375238,0.23580034423407917,0.5389567730915779,0.48732136352923533,0.31605411425326135,0.7037959183673469,0.2384003148642148,0.5093772579756293
5,uCBLOF,0.9044477548414556,0.9641515983464293,0.9409064830751578,0.4487114514706158,0.5614856287361001,0.98457697410344,0.8380816326530612,0.9570177548432239,0.7146923029820587
6,LOoP,0.9146930957954579,0.8083562119347408,0.9288582903040734,0.5318242393528164,0.7408895874176004,0.502406385842667,0.8936190476190475,0.755635850789347,0.7219980405364033
7,LDCOF,0.8903110084212447,0.8686294928839661,0.8508318990246702,0.41544193554441883,0.5372124162613645,0.9693054461021906,0.7066666666666666,0.9410941531464556,0.6865250137774784
8,HBOS,0.8269844647797405,0.8581211145823471,0.9695926563396443,0.4479418886198547,0.5379544333045873,0.9942633867092063,0.6756326530612246,0.9305494817859798,0.8559377870308004
9,OCSVM,0.9063022527589456,0.9644987219539903,0.9512335054503729,0.5082868780149032,0.5658849479802741,0.989651516622346,0.8080544217687075,0.950523680412822,0.6136954258771662
10,Nu-OCSVM,0.9089471924117594,0.9642462684212187,0.9483648881239242,0.5135705839292752,0.5639642544047594,0.9898777697858774,0.8078503401360544,0.9479763414527484,0.6136954258771662
