,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0040770909783476835,0.6016620800474439,0.49037554415705675,0.017485963493128545,0.03432861516140246,0.5635651576796565,0.1588274318336792,0.5949720382611146,0.08726394223664541
1,KNN,0.04720546382040737,0.7703164801574761,0.4412898152991604,0.016170655989269415,0.08753067719721846,0.11648879827134348,0.32739837917503645,0.5029463256832615,0.05844143650444795
2,KthNN,0.02512442866884696,0.8080865477388102,0.4295900862788908,0.015892220225121836,0.06791333574764083,0.1201459812130726,0.260794757321577,0.4599328350380256,0.05307809544969071
3,LOF,0.14276745796962031,0.3228531408200331,0.6862949550449551,0.018501542651737653,0.10879481439784097,0.03187070391356738,0.410520921937457,0.34670218426622185,0.09366906404078706
4,CBLOF,0.0012082233342249273,0.20417845528172385,0.01879920422243556,0.01759273469992276,0.031869515867647656,0.08861964312861031,0.10984945792158653,0.013492808724395563,0.07649025306792269
5,uCBLOF,0.01311233624684455,0.7443338854742659,0.5800363887320408,0.01639418559433968,0.04185322645855179,0.9656613052628382,0.2955311535242854,0.519117686771054,0.04919401536715546
6,LOoP,0.17942637406672665,0.2819748825308045,0.7886198945981555,0.019280353271631287,0.13834897915321917,0.036512378470853084,0.3930669720376582,0.18893396481594413,0.09959411938397389
7,LDCOF,0.05228180068543721,0.5528378318015663,0.6594134342478712,0.015825634689460327,0.04302732767097936,0.9492657509437825,0.1938206459897722,0.45799990660562134,0.04328515662321463
8,HBOS,0.0046171660715595714,0.3990273138647988,0.42158924053492364,0.014965929264270175,0.03624850486616977,0.9346715620017392,0.10730722331006003,0.5538290413549184,0.11179751636851562
9,OCSVM,0.005251998180772823,0.7098794370472733,0.45447453890332185,0.012747183426680523,0.040705867577761914,0.9371098833453885,0.2424699715154813,0.5104791248639956,0.04053766814593365
10,Nu-OCSVM,0.006307976097996666,0.7015106822916891,0.45471320349788896,0.031128324562518787,0.04225409259181735,0.9423652220593238,0.281025025362294,0.5050261016607733,0.04053766814593365
