,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.00330747619946117,0.47128265307997097,0.1799361112193559,0.015978992049756887,0.034536660110062956,0.1713020145268196,0.25497514175466635,0.20317927425217644,0.04777522984715393
1,KNN,0.010110640074503956,0.5205006209916692,0.14532805236293608,0.016810039576677826,0.0843156950070478,0.10987101489417639,0.306249003906213,0.18974631150480653,0.05936748878206757
2,KthNN,0.006862391498857779,0.5204155657131302,0.15995819178912812,0.01645187540355516,0.0647379085023057,0.1145765035724269,0.25786175914743265,0.1821388819538799,0.05467769731495246
3,LOF,0.03528662791355892,0.3212346572936084,0.12331545237510733,0.016897262491178813,0.10557348738818353,0.042287488008466934,0.24358442434252384,0.11171164440609183,0.09522649646711544
4,CBLOF,0.0014663131729344683,0.07861000299973313,0.017758023583197696,0.013697811664445258,0.03819476360621915,0.04362439048995162,0.07648795987475078,0.01443605336013288,0.06864684727469215
5,uCBLOF,0.004499417085336916,0.6275166293209439,0.1034841647137082,0.017165729916163268,0.03833680280854988,0.9504232529547504,0.2513618386709873,0.1262606276271559,0.05171900675460813
6,LOoP,0.04517977760947806,0.3148260906795084,0.11677011340177469,0.01655570630840093,0.13667809419495208,0.03813790856609252,0.2536682018294161,0.09078542247296935,0.09752591376591083
7,LDCOF,0.003818588975566599,0.45209795374391876,0.07717515091565544,0.018149747026601118,0.044140340669266934,0.8547942802228541,0.1855367180538749,0.10333565589238705,0.04809724268581203
8,HBOS,0.004002204693928583,0.409253965435146,0.09114457225465554,0.016073274815565516,0.0387141113089413,0.26734297038377763,0.13436632245112223,0.022634839375712576,0.07375478570953797
9,OCSVM,0.0032878148425028817,0.4706069064248791,0.12757978900130895,0.016033696928315348,0.03725366224867212,0.9520650564346634,0.24494378300001582,0.19227519626487888,0.04265835087185795
10,Nu-OCSVM,0.0034674113057085137,0.46599945702149387,0.1315078769474407,0.017770322663430517,0.03916809638086735,0.9664865473794044,0.2628406637480388,0.18652748040461753,0.04265835087185795
11,RED1,0.002718858583273722,0.44837039842216253,0.19104845512408533,0.015613456517088587,0.035447410167518976,0.012801049610806234,0.1793525374443707,0.2197832005124978,0.03470090889534195
12,RED2,0.002676797477422192,0.4612297200339514,0.18070740014441464,0.015592889727731788,0.03548258676588211,0.012965109310921695,0.1830490873247968,0.22291123860636114,0.04013066437097722
